scenario,condition_name,true_x,true_y,est_x,est_y,trial,seed_data,seed_model,old_rmse_z,fixed_rmse_z,diff_fixed_old_rmse_z,ratio_fixed_old_rmse_z,old_rmse_y,fixed_rmse_y,diff_fixed_old_rmse_y,old_rmse_x,fixed_rmse_x,diff_fixed_old_rmse_x,old_q_final,fixed_q_final,old_q_start,old_q_end,old_q_delta,fixed_q_start,fixed_q_end,fixed_q_delta,old_w_est,fixed_w_est,old_success,fixed_success,old_error_message,fixed_error_message,note
C,oracle_C,bernoulli,gaussian,bernoulli,gaussian,0,8000,8050,0.0277529196021621,0.022082363484583898,-0.005670556117578201,0.795677132393075,0.0340478702789936,0.02717252831463591,-0.006875341964357691,0.4458366624174452,0.44584097873296086,4.316315515673352e-06,18133.831756952084,18383.078230250307,2046.2930794701301,18133.831756952084,16087.538677481954,3178.5830768941255,18383.078230250307,15204.495153356182,0.4990097208507638,0.4997827625780329,True,True,,,Scenario C oracle (correct family)
C,oracle_C,bernoulli,gaussian,bernoulli,gaussian,1,8100,8150,0.02688172044377139,0.021747214816436385,-0.005134505627335004,0.8089963907602241,0.03299703348662172,0.026560608916881036,-0.006436424569740681,0.4580648282423544,0.4582150532361646,0.0001502249938102329,17902.247046649016,18139.905112998033,1177.425294439322,17902.247046649016,16724.821752209693,3088.319286956131,18139.905112998033,15051.5858260419,0.5002132220969366,0.5002401061523535,True,True,,,Scenario C oracle (correct family)
C,oracle_C,bernoulli,gaussian,bernoulli,gaussian,2,8200,8250,0.027634866070269118,0.023241499023862053,-0.004393367046407064,0.841020867072931,0.03361741342058965,0.027835788104586385,-0.005781625316003267,0.45967484775607326,0.4597328469903689,5.799923429566922e-05,17924.56310533671,18160.19906680273,1132.9812177973747,17924.56310533671,16791.581887539334,3061.735956796243,18160.19906680273,15098.463110006485,0.5001636323399807,0.5002902426042402,True,True,,,Scenario C oracle (correct family)
C,oracle_C,bernoulli,gaussian,bernoulli,gaussian,3,8300,8350,0.026957092814685037,0.022300876801588685,-0.004656216013096352,0.8272730651964127,0.03302059232838554,0.027370142073275976,-0.005650450255109567,0.45679398180988284,0.4567445128692454,-4.946894063745377e-05,18078.470221417905,18320.81572109054,1461.3021177850317,18078.470221417905,16617.168103632874,2954.6570551809823,18320.81572109054,15366.15866590956,0.49978327209961326,0.4991379821862257,True,True,,,Scenario C oracle (correct family)
C,oracle_C,bernoulli,gaussian,bernoulli,gaussian,4,8400,8450,0.02915474152953095,0.022629641975503028,-0.006525099554027924,0.776190793959925,0.034840118541797645,0.026860554254920725,-0.00797956428687692,0.4590689940623935,0.4591101875198043,4.119345741082636e-05,17755.455523087912,18002.137299581344,1818.716797801068,17755.455523087912,15936.738725286845,3234.0877153372976,18002.137299581344,14768.049584244047,0.50041237881187,0.5004760811296575,True,True,,,Scenario C oracle (correct family)
C,oracle_C,bernoulli,gaussian,bernoulli,gaussian,5,8500,8550,0.030093847569585132,0.022367015072699017,-0.007726832496886115,0.7432421202034873,0.036780881542662215,0.02717174455501063,-0.009609136987651586,0.4568374639591614,0.4568233966672536,-1.4067291907837731e-05,17979.324223638334,18224.51172176468,1318.0230135334914,17979.324223638334,16661.301210104844,2665.579480289198,18224.51172176468,15558.932241475482,0.5007106101591878,0.5003722845758849,True,True,,,Scenario C oracle (correct family)
C,oracle_C,bernoulli,gaussian,bernoulli,gaussian,6,8600,8650,0.02970843816440589,0.023339332334463392,-0.006369105829942497,0.7856129024792217,0.0361249661273873,0.028529443442345075,-0.007595522685042221,0.4584247001226445,0.45839680261374943,-2.7897508895091683e-05,17936.09818022308,18174.06801036241,2304.4352627956914,17936.09818022308,15631.662917427391,3946.73111299798,18174.06801036241,14227.336897364432,0.5000905206181332,0.5013486225570161,True,True,,,Scenario C oracle (correct family)
C,oracle_C,bernoulli,gaussian,bernoulli,gaussian,7,8700,8750,0.031027170390977358,0.024767081292253662,-0.006260089098723696,0.7982384787320432,0.03734220945665213,0.029746334955071868,-0.007595874501580259,0.45301196357388485,0.45299009318813904,-2.1870385745803578e-05,17854.74101406069,18100.333396216796,2224.915046159744,17854.74101406069,15629.825967900948,3490.5927396200095,18100.333396216796,14609.740656596787,0.5006804640560615,0.49992608902067825,True,True,,,Scenario C oracle (correct family)
C,oracle_C,bernoulli,gaussian,bernoulli,gaussian,8,8800,8850,0.028467456872507183,0.022743520928844296,-0.005723935943662887,0.7989305483346195,0.034565620968360286,0.027626817209415542,-0.006938803758944744,0.4539624172086621,0.45403633691652734,7.391970786524427e-05,17826.537484126035,18058.5808684934,1288.6371419509055,17826.537484126035,16537.90034217513,2230.229366665535,18058.5808684934,15828.351501827867,0.5003541414899102,0.5004771462925341,True,True,,,Scenario C oracle (correct family)
C,oracle_C,bernoulli,gaussian,bernoulli,gaussian,9,8900,8950,0.0295532043807119,0.02414736821556882,-0.0054058361651430804,0.8170812174712521,0.035536155898959504,0.029047104199362135,-0.006489051699597369,0.4605318244407138,0.4605370914136046,5.266972890827226e-06,18016.783333408017,18243.501456015263,1388.8524667554002,18016.783333408017,16627.930866652616,3051.005740259509,18243.501456015263,15192.495715755755,0.4996069639503399,0.49950522646349177,True,True,,,Scenario C oracle (correct family)
C,C_23_6x_like,bernoulli,gaussian,gaussian,bernoulli,0,8000,8050,0.4519513699438263,0.4480396193007544,-0.003911750643071865,0.9913447532119262,0.4751758962467945,0.4757557252070729,0.0005798289602783613,0.669108806679891,0.6689822626071421,-0.0001265440727489242,40575.733348614325,40843.23599990477,3589.762854339367,40575.733348614325,36985.97049427496,8742.027121038265,40843.23599990477,32101.208878866506,4.4817274874176505,4.481867140439001,True,True,,,"fig1b gray-bar condition (old model, ~23.6x in exp_scenario_C_exp4_mismatch.csv)"
C,C_23_6x_like,bernoulli,gaussian,gaussian,bernoulli,1,8100,8150,0.4522469641444396,0.452618348479436,0.0003713843349963941,1.0008211980719406,0.47824000882974904,0.47825105868256784,1.1049852818800776e-05,0.6837379539475904,0.6836977501321265,-4.020381546387952e-05,40228.29725698998,40275.74488071282,9920.56150861095,40228.29725698998,30307.73574837903,3678.987075097056,40275.74488071282,36596.75780561576,4.4806873442468556,4.480964442374017,True,True,,,"fig1b gray-bar condition (old model, ~23.6x in exp_scenario_C_exp4_mismatch.csv)"
C,C_23_6x_like,bernoulli,gaussian,gaussian,bernoulli,2,8200,8250,0.4584460528692656,0.4624053244823253,0.0039592716130597005,1.0086362868395964,0.47592602427645514,0.4761603794145939,0.0002343551381387421,0.6871729010812034,0.6872995552803061,0.0001266541991026271,41452.11635886955,41278.41265676795,4377.83756104916,41452.11635886955,37074.278797820385,8095.476046957631,41278.41265676795,33182.93660981032,4.480382953337476,4.479714872279347,True,True,,,"fig1b gray-bar condition (old model, ~23.6x in exp_scenario_C_exp4_mismatch.csv)"
C,C_23_6x_like,bernoulli,gaussian,gaussian,bernoulli,3,8300,8350,0.8638445914787454,0.44623896731794466,-0.4176056241608007,0.5165732027725779,0.4809265311804186,0.47821380053549745,-0.0027127306449211686,0.7005357241547453,0.6892266693965517,-0.011309054758193549,32056.399349534226,40528.47643782239,12789.853593151613,32056.399349534226,19266.545756382613,3793.1334747959568,40528.47643782239,36735.342963026436,4.483160461801621,4.47361157742598,True,True,,,"fig1b gray-bar condition (old model, ~23.6x in exp_scenario_C_exp4_mismatch.csv)"
C,C_23_6x_like,bernoulli,gaussian,gaussian,bernoulli,4,8400,8450,0.4538265204085682,0.4519804588300315,-0.001846061578536673,0.995932230719186,0.4764135686573753,0.4758003322425217,-0.0006132364148535574,0.6883052294576295,0.6883556228775127,5.039341988322121e-05,41775.54379156486,41935.43449495141,8811.004821198027,41775.54379156486,32964.53897036683,7169.336005989722,41935.43449495141,34766.09848896169,4.4814716349913395,4.483855389235418,True,True,,,"fig1b gray-bar condition (old model, ~23.6x in exp_scenario_C_exp4_mismatch.csv)"
C,C_23_6x_like,bernoulli,gaussian,gaussian,bernoulli,5,8500,8550,1.1446551325032694,0.8266319108248662,-0.31802322167840325,0.7221667796282782,0.49359761703031696,0.479334774189859,-0.014262842840457979,0.6968668896131196,0.6880364750993054,-0.008830414513814167,22845.304898939277,35080.36167081055,5702.77733777207,22845.304898939277,17142.527561167208,7636.189762989869,35080.36167081055,27444.171907820677,4.476706746803639,4.478623769122383,True,True,,,"fig1b gray-bar condition (old model, ~23.6x in exp_scenario_C_exp4_mismatch.csv)"
C,C_23_6x_like,bernoulli,gaussian,gaussian,bernoulli,6,8600,8650,1.1629753467264847,0.8086933759111344,-0.3542819708153503,0.6953658804440054,0.5003664617937208,0.4792151984259471,-0.021151263367773676,0.7265667988346545,0.6939239934696172,-0.032642805365037275,19915.87390502147,34650.22497414151,5111.644642523866,19915.87390502147,14804.229262497605,7786.923155109665,34650.22497414151,26863.301819031843,4.4790630540059775,4.4819452844697905,True,True,,,"fig1b gray-bar condition (old model, ~23.6x in exp_scenario_C_exp4_mismatch.csv)"
