scenario,true_x_dist,true_y_dist,estimated_x_dist,estimated_y_dist,trial,seed_data,seed_model,n,d,k_true,k_est,L,iterations,rmse_z,rmse_f,rmse_x,rmse_y,q_value,w0_est,w_est,nan_occurred,nan_count,is_oracle_condition,is_conventional_like_condition
B,gaussian,poisson,gaussian,poisson,2,6200,6250,150,15,3,3,5,8,0.14445763536534365,0.023948660652896823,0.31278535215125913,0.5369196016381409,-1898.239961930415,0.05326582834429559,0.48361300212961517,False,0,True,False
B,gaussian,poisson,gaussian,poisson,3,6300,6350,150,15,3,3,5,8,0.13949681951459944,0.028147123997648297,0.31322664434897607,0.41294110323979,-4328.146633769119,0.014692668161747652,0.49453642003214493,False,0,True,False
B,gaussian,poisson,gaussian,poisson,4,6400,6450,150,15,3,3,5,8,0.14275585988038147,0.022552410001473098,0.31399762117420155,0.3986797329557826,-4596.379599147916,0.0043654858557210284,0.5014654740492012,False,0,True,False
B,gaussian,poisson,gaussian,poisson,5,6500,6550,150,15,3,3,5,8,0.1353155722587742,0.02423658575447543,0.3075715635415778,0.4739179252181782,-3189.427517149999,-0.004595235211142845,0.5041688635936822,False,0,True,False
B,gaussian,poisson,gaussian,poisson,6,6600,6650,150,15,3,3,5,8,0.14301880009542492,0.024147958254848056,0.3088692731848389,0.40949836765045,-4720.099440240324,0.005491487989229896,0.4970618975398814,False,0,True,False
B,gaussian,poisson,gaussian,poisson,7,6700,6750,150,15,3,3,5,8,0.1410505145406891,0.023403020086037382,0.31721523702608445,0.4341063632066548,-3509.7179152346944,0.02860360075970735,0.4950841824623848,False,0,True,False
B,gaussian,poisson,gaussian,poisson,8,6800,6850,150,15,3,3,5,8,0.16755920393635101,0.06514403395696919,0.31298077379809985,0.6897481622264083,-3790.3771155890718,0.10740972441938552,0.4482814849918098,False,0,True,False
B,gaussian,poisson,gaussian,poisson,9,6900,6950,150,15,3,3,5,8,0.13677130045621488,0.025560434054359066,0.31861222383794274,0.4387818565970909,-3699.845040694587,0.007304529572625496,0.4959163174024168,False,0,True,False
B,gaussian,poisson,bernoulli,gaussian,0,6000,6050,150,15,3,3,5,8,0.3522844425569677,3.162243636064381,0.8615310257525413,1.6892541985466896,-4936.055600577329,1.4390990728935213,0.8985622520199524,False,0,False,False
B,gaussian,poisson,bernoulli,gaussian,1,6100,6150,150,15,3,3,5,8,0.5926824112091892,3.3198858164295615,0.8741297884335268,2.0481845947510084,-5818.550055587478,1.3438848979339764,1.1731017590579433,False,0,False,False
B,gaussian,poisson,bernoulli,gaussian,2,6200,6250,150,15,3,3,5,8,0.6945260594302137,3.2687971665445708,0.8798838717489015,2.73156427685427,-7742.240103193469,1.3589362076195637,1.6722442680634813,False,0,False,False
B,gaussian,poisson,bernoulli,gaussian,3,6300,6350,150,15,3,3,5,8,0.36345147879849377,3.1424886883475653,0.8675603261469266,1.694757240045003,-4760.494112011996,1.43457935712074,0.8745601531043932,False,0,False,False
B,gaussian,poisson,bernoulli,gaussian,4,6400,6450,150,15,3,3,5,8,0.34123688447334727,3.376478147603423,0.8582861078630294,1.6454961336333858,-3483.0614961207357,1.4479385127948403,0.821904732790312,False,0,False,False
B,gaussian,poisson,bernoulli,gaussian,5,6500,6550,150,15,3,3,5,8,0.3840114568038734,3.3126872344296885,0.8565543733669725,1.8143230220981184,-5969.099276871151,1.475199218562526,1.012573836424738,False,0,False,False
B,gaussian,poisson,bernoulli,gaussian,6,6600,6650,150,15,3,3,5,8,0.3690376487446597,3.135869199140892,0.8423713044690315,1.6347031759112978,-3721.6734204294844,1.3599771109766106,0.7992858792270572,False,0,False,False
B,gaussian,poisson,bernoulli,gaussian,7,6700,6750,150,15,3,3,5,8,0.6060573349680979,3.30250194416905,0.8625070959525781,2.132048864199387,-6585.672720198489,1.3556120871448656,1.2326503188529316,False,0,False,False
B,gaussian,poisson,bernoulli,gaussian,8,6800,6850,150,15,3,3,5,8,0.4310063721723648,3.3244259005970265,0.8723003011456533,1.8485458539672441,-5355.197058237603,1.4056779082365345,1.0190166445780187,False,0,False,False
B,gaussian,poisson,bernoulli,gaussian,9,6900,6950,150,15,3,3,5,8,0.7478790938268028,3.184179246677052,0.8980201509435745,2.003578404309578,-7045.9182867539785,1.1639292607940839,1.1099219932492748,False,0,False,False
B,gaussian,poisson,bernoulli,bernoulli,0,6000,6050,150,15,3,3,5,8,1.013128782292767,1.4879944797604698,1.1923493244717858,0.5301843179728822,113281.47598568854,17.81547797732271,4.4998076278098145,False,0,False,False
