y_obs_rate,comparator,trial,is_primary,rmse_comparator_complementary,rmse_comparator_fullcoverage,rmse_joint_complementary,rmse_joint_fullcoverage,delta_G_complementary,delta_G_fullcoverage,I,D_G,D_J,identity_abs_err
1.0,single_poisson,2,False,0.2840019341896578,0.28167499354763986,0.24742043624104856,0.23847175681079513,0.03658149794860924,0.04320323673684473,-0.006621738788235493,0.0023269406420179384,0.008948679430253431,0.0
1.0,single_poisson,3,False,0.3015885104424823,0.3252651484876797,0.2692578613793552,0.25431350763279453,0.032330649063127104,0.07095164085488515,-0.03862099179175804,-0.023676638045197373,0.014944353746560668,0.0
1.0,single_poisson,4,False,0.2950446532626155,0.29223005304265837,0.26566753276005933,0.24007272359826515,0.029377120502556142,0.05215732944439322,-0.022780208941837077,0.0028146002199571085,0.025594809161794185,0.0
1.0,single_poisson,5,False,0.30402079689662953,0.30018062232392634,0.2915422585230075,0.2538828724706259,0.012478538373622006,0.04629774985330043,-0.033819211479678424,0.003840174572703192,0.037659386052381616,0.0
1.0,single_poisson,6,False,0.2883120519336267,0.28642605136488214,0.24004537981144017,0.2320095112354111,0.04826667212218652,0.05441654012947103,-0.006149868007284509,0.0018860005687445502,0.00803586857602906,0.0
1.0,single_poisson,7,False,0.32052086520045486,0.32123148298072524,0.27276826981824215,0.26220530910516276,0.047752595382212715,0.05902617387556247,-0.011273578493349756,-0.0007106177802703728,0.010562960713079383,0.0
1.0,single_poisson,8,False,0.31468297726459454,0.2985231413686295,0.2589335579391884,0.24775000043147602,0.05574941932540617,0.05077314093715349,0.004976278388252681,0.016159835895965036,0.011183557507712355,0.0
1.0,single_poisson,9,False,0.2959266284437553,0.2916276732717764,0.26983103111357504,0.25032841866054806,0.026095597330180242,0.04129925461122835,-0.01520365728104811,0.004298955171978869,0.01950261245302698,0.0
0.1,single_gaussian,0,True,0.7785777099091957,0.43605617157894094,0.4791538878588097,0.394495255147119,0.29942382205038603,0.04156091643182197,0.25786290561856406,0.3425215383302548,0.08465863271169072,0.0
0.1,single_gaussian,1,True,0.938759200546583,0.5242874370112179,0.7037202763012845,0.41464042596946077,0.2350389242452985,0.10964701104175717,0.12539191320354132,0.4144717635353651,0.28907985033182376,0.0
0.1,single_gaussian,2,True,1.036105955701843,0.6124766561574518,0.6609219605360916,0.4049079800645086,0.3751839951657514,0.20756867609294322,0.1676153190728082,0.4236292995443912,0.256013980471583,0.0
0.1,single_gaussian,3,True,0.7841324807720471,0.5975014372718408,0.6204481583050724,0.4411935865938725,0.16368432246697473,0.15630785067796832,0.007376471789006411,0.18663104350020632,0.1792545717111999,0.0
0.1,single_gaussian,4,True,0.7576018618574534,0.4746295852035796,0.522473016664196,0.39004726935940076,0.23512884519325739,0.08458231584417886,0.15054652934907853,0.28297227665387376,0.13242574730479523,0.0
