trial,col,block,family,intended_dominant_dim,f_1,f_2,f_3,f_norm,dominant_loading_abs,off_dim_norm,dominant_share_of_sq_norm,eta_min,eta_max,eta_mean,eta_var,x_mean,x_var,true_c_mean,true_t_col,true_t_dim1,true_t_dim2,true_t_dim3,z_corr_12,z_corr_13,z_corr_23,bernoulli_event_rate,poisson_mean,poisson_var,gaussian_var
3,5,gauss,gaussian,2,0.05264747537734724,0.9984874193403392,-0.01584666385903048,1.0,0.9984874193403392,0.05498066404718556,0.9969771265809305,-2.922890189226603,3.284649247093406,0.0,1.017853347510637,-0.025245486343337297,1.1663132171147252,11.111111111111112,11.111111111111112,0.030797296262315383,11.077523628677007,0.002790186171790031,0.1532474571139217,0.022940361248000283,-0.05624355012943968,,,,1.1663132171147252
3,6,pois,poisson,3,0.20623791325229243,-0.003973221841839897,0.9784938102234144,0.9999999999999999,0.9784938102234144,0.20627618222777086,0.9574501366455355,-2.434210562254301,2.2691547393825173,-3.3306690738754695e-17,1.0094450189837076,1.65,5.577499999999999,1.592465022418993,1.5924650224189927,0.06773402966466718,2.513943602532834e-05,1.5247058533183002,0.1532474571139217,0.022940361248000283,-0.05624355012943968,,1.65,5.577499999999999,
3,7,pois,poisson,3,0.05836184334371289,-0.11422186227165178,0.9917395128866853,1.0,0.9917395128866853,0.1282682290330704,0.9835472614207198,-2.5874689528781234,2.033488229342429,-1.6653345369377347e-17,1.0133547599711759,1.7125,4.729843749999999,1.6004625604834573,1.6004625604834573,0.005451343143025522,0.020880648970534342,1.5741305683698974,0.1532474571139217,0.022940361248000283,-0.05624355012943968,,1.7125,4.729843749999999,
3,8,pois,poisson,3,-0.04817976887797414,0.08463011977048507,0.9952469305144821,1.0,0.9952469305144821,0.09738350631139595,0.9905164526984983,-2.5860060072365942,1.9521916061770468,-4.4408920985006264e-17,0.9870757150160779,1.4125,4.292343750000001,1.55237970632672,1.55237970632672,0.0036035236889657143,0.01111854268587498,1.537657639951879,0.1532474571139217,0.022940361248000283,-0.05624355012943968,,1.4125,4.292343750000001,
4,0,bern,bernoulli,1,0.9835055769592688,0.1473878783935724,-0.10485033806649113,1.0,0.9835055769592688,0.18087780430449693,0.9672832199099841,-3.0473506435848337,2.268645792399229,-5.551115123125783e-18,1.0111512231943816,0.55,0.24749999999999997,0.20655471507525475,0.20655471507525475,0.19979690988558174,0.004487026638799446,0.0022707785508735688,0.033674523115245235,0.018561699436697134,-0.16878577510352957,0.55,,,
4,1,bern,bernoulli,1,0.9914690842856106,-0.12258209906213625,0.04430218838131277,1.0,0.9914690842856106,0.13034206882604202,0.9830109450941473,-2.968281870306441,2.016537468940478,5.551115123125783e-18,0.9952784941382141,0.4875,0.24984374999999998,0.20650327104313354,0.20650327104313354,0.20299497563314356,0.0031029947655717093,0.00040530064441827074,0.033674523115245235,0.018561699436697134,-0.16878577510352957,0.4875,,,
4,2,bern,bernoulli,1,0.9381165695359802,-0.34616009923037583,0.010511311186572838,1.0,0.9381165695359802,0.34631965286718086,0.8800626980379553,-2.8673899152540647,2.2063603022271794,-5.551115123125783e-18,0.9797235244674305,0.475,0.24937499999999999,0.20697551103102088,0.20697551103102094,0.18215142666574488,0.024801216124792774,2.2868240483272675e-05,0.033674523115245235,0.018561699436697134,-0.16878577510352957,0.475,,,
4,3,gauss,gaussian,2,-0.07214071565058189,0.9896849749340983,0.12377143262932283,0.9999999999999999,0.9896849749340983,0.1432607775690648,0.9794763496103069,-2.419562964876759,2.3040077419876366,-1.1102230246251566e-17,0.9535092999875818,-0.0047924742823272195,1.1830446723235675,11.111111111111112,11.11111111111111,0.057825365050867904,10.883070551225632,0.17021519483461112,0.033674523115245235,0.018561699436697134,-0.16878577510352957,,,,1.1830446723235675
4,4,gauss,gaussian,2,0.1747585421680913,0.9836499149740392,-0.04350053690299531,1.0,0.9836499149740392,0.1800912123663048,0.9675671552284345,-2.322244517998058,2.344874167404502,-1.6653345369377347e-17,1.0257396182641758,0.02933000955430773,1.2381258965301676,11.111111111111112,11.111111111111112,0.33933942289685054,10.75074616920483,0.021025519009431743,0.033674523115245235,0.018561699436697134,-0.16878577510352957,,,,1.2381258965301676
4,5,gauss,gaussian,2,-0.2634710057418544,0.9622610626399634,0.06809314547283152,1.0,0.9622610626399634,0.27212799805791477,0.9259463526729915,-2.602605823235396,2.2635191368034455,5.551115123125783e-18,0.9601402936875049,0.0019176562976987942,0.9959147702187334,11.111111111111112,11.111111111111112,0.7712996762958253,10.288292807477685,0.05151862733760218,0.033674523115245235,0.018561699436697134,-0.16878577510352957,,,,0.9959147702187334
