scenario,condition_name,true_x,true_y,est_x,est_y,trial,seed_data,seed_model,old_rmse_z,fixed_rmse_z,diff_fixed_old_rmse_z,ratio_fixed_old_rmse_z,old_rmse_y,fixed_rmse_y,diff_fixed_old_rmse_y,old_rmse_x,fixed_rmse_x,diff_fixed_old_rmse_x,old_q_final,fixed_q_final,old_q_start,old_q_end,old_q_delta,fixed_q_start,fixed_q_end,fixed_q_delta,old_w_est,fixed_w_est,old_success,fixed_success,old_error_message,fixed_error_message,note
C,C_41_5x_like,bernoulli,gaussian,gaussian,poisson,7,8700,8750,1.3964899595752276,1.3399094255989343,-0.0565805339762932,0.9594837516816064,2.5886970303474577,2.6008456334816805,0.0121486031342228,0.5561593708430304,0.5827559747332646,0.0265966038902342,-704.5623500040647,-1564.9236083717583,-7369.954821434881,-704.5623500040647,6665.392471430816,-7449.805233630745,-1564.9236083717583,5884.881625258986,-2.626718071545413,-1.457380517076181,True,True,,,"manuscript max-misspec condition (old model, ~41.5x, no bar in fig1b)"
C,C_41_5x_like,bernoulli,gaussian,gaussian,poisson,8,8800,8850,1.5186752861426955,0.30419717156498,-1.2144781145777157,0.2003042877833448,3.989053084863536,3.3450885419034333,-0.6439645429601031,0.4854170751736203,0.6620461502307683,0.1766290750571479,-941.6763478247594,21463.211925864736,-7554.412656858182,-941.6763478247594,6612.736309033423,-7527.286495833236,21463.211925864736,28990.49842169797,-1.6856549177786764,1.9453775806542477,True,True,,,"manuscript max-misspec condition (old model, ~41.5x, no bar in fig1b)"
C,C_41_5x_like,bernoulli,gaussian,gaussian,poisson,9,8900,8950,1.6760661000409698,0.3314801899838757,-1.344585910057094,0.1977727429579137,3.223369468283471,2.3057253757147045,-0.9176440925687666,0.5481635307651249,0.6724222721058609,0.124258741340736,-1079.5014921176237,21278.020966289565,-7379.425749041291,-1079.5014921176237,6299.924256923668,-7290.909714062487,21278.020966289565,28568.93068035205,-2.3971397221854938,1.9258644141877783,True,True,,,"manuscript max-misspec condition (old model, ~41.5x, no bar in fig1b)"
C,C_41_5x_like,bernoulli,gaussian,gaussian,poisson,10,9000,9050,0.3234651845218728,0.309506704167189,-0.013958480354683778,0.9568470394261553,5.659389531761483,5.663357443444392,0.003967911682908998,0.6685354252672037,0.6687965447035389,0.00026111943633522205,21259.033213203737,21494.693563479188,-7567.695155624082,21259.033213203737,28826.72836882782,-6069.481092019037,21494.693563479188,27564.174655498224,1.9419768507587964,1.9474565628586353,True,True,,,"manuscript max-misspec condition (old model, ~41.5x, no bar in fig1b)"
C,C_41_5x_like,bernoulli,gaussian,gaussian,poisson,11,9100,9150,0.3266720866268931,0.31648893284850554,-0.010183153778387577,0.96882759747386,1.8518937346361455,1.8036876526877201,-0.04820608194842535,0.6805474726708628,0.6799765777430755,-0.0005708949277872799,21061.16998780611,21312.460210417183,-7452.754325883291,21061.16998780611,28513.924313689404,-6368.271474294507,21312.460210417183,27680.73168471169,1.938226814075128,1.9427359235208685,True,True,,,"manuscript max-misspec condition (old model, ~41.5x, no bar in fig1b)"
C,C_41_5x_like,bernoulli,gaussian,gaussian,poisson,12,9200,9250,0.6292352460248289,0.6214331072878703,-0.007802138736958675,0.9876006012278422,2.007391992035688,1.962722742621758,-0.04466924941393002,0.47957556596986156,0.47917839216361124,-0.0003971738062503172,18989.85105836973,19307.5869506686,-7374.1241771326895,18989.85105836973,26363.97523550242,-5861.952596714619,19307.5869506686,25169.539547383218,1.6322377186228043,1.63641705368454,True,True,,,"manuscript max-misspec condition (old model, ~41.5x, no bar in fig1b)"
C,C_41_5x_like,bernoulli,gaussian,gaussian,poisson,13,9300,9350,0.30592651897449397,0.29264542445045477,-0.013281094524039194,0.9565873054465525,1.5779824018439745,1.5348608221640614,-0.04312157967991315,0.6905607178789109,0.690121770900394,-0.0004389469785169853,21749.958524975787,21982.705007057702,-7499.813962738673,21749.958524975787,29249.77248771446,-5801.660765196061,21982.705007057702,27784.365772253765,1.9406245361584926,1.944509558411154,True,True,,,"manuscript max-misspec condition (old model, ~41.5x, no bar in fig1b)"
C,C_41_5x_like,bernoulli,gaussian,gaussian,poisson,14,9400,9450,0.3307485929810458,0.3226911633101668,-0.008057429670879024,0.9756388089265711,4.66209104527243,4.668195185976228,0.0061041407037985,0.6644946218328452,0.6648118252312855,0.0003172033984402134,21115.592214192893,21390.397085158053,-7459.499973788664,21115.592214192893,28575.092187981558,-6416.237170739296,21390.397085158053,27806.63425589735,1.9252756440895555,1.9336342490862313,True,True,,,"manuscript max-misspec condition (old model, ~41.5x, no bar in fig1b)"
C,C_41_5x_like,bernoulli,gaussian,gaussian,poisson,15,9500,9550,1.4081885434130856,0.3219134548966012,-1.0862750885164845,0.22860110345477325,224.0370881298069,2.381184228436372,-221.65590390137052,0.6047223894323279,0.6823162051936518,0.07759381576132385,-121412.800454329,21073.804421286874,-7542.685526340696,-121412.800454329,-113870.11492798831,-7014.986390489107,21073.804421286874,28088.79081177598,-1.4522133482527757,1.927014384297012,True,True,,,"manuscript max-misspec condition (old model, ~41.5x, no bar in fig1b)"
C,C_41_5x_like,bernoulli,gaussian,gaussian,poisson,16,9600,9650,1.3767643620300858,0.6350731841645175,-0.7416911778655683,0.4612795055415878,7.359955596974444,2.484482867424937,-4.875472729549507,0.6334613641175545,0.47865239058008757,-0.15480897353746692,-2585.1074664963985,18636.36902462108,-7298.902092715709,-2585.1074664963985,4713.794626219311,-6325.369001277866,18636.36902462108,24961.738025898943,-1.1372976524816851,1.6226693378997257,True,True,,,"manuscript max-misspec condition (old model, ~41.5x, no bar in fig1b)"
