r_true,r_true_tag,trial,data_seed,model_seed,y_var_mean_ratio_gen,y_mean_gen,y_zero_ratio_gen,fit_condition,family_y_fit,nb_r_fit,w0_est,w_est,bic_train,q_strict_train,nan_occurred,runtime_s,rmse_Z,rmse_F,w0_err,w_err,test_n_pairs,test_rmse,test_mae,test_pearson,test_spearman,test_mean_ll,test_pearson_dispersion,train_n_pairs,train_rmse,train_mae,train_pearson,train_spearman,train_mean_ll,train_pearson_dispersion,r_hat_train
5.0,5,1,51001,53010,4.378649475524476,5.042424242424242,0.06262626262626263,nb_moment,nb,4.78821269563317,1.4927829938242516,0.29900929618831595,21813.978088245418,-10807.977885123964,False,8.84,0.3477970473334382,0.249709518128511,0.007217006175748386,0.000990703811684035,990,3.5625227945966276,2.593799774989622,0.5941834773595213,0.5205921272388305,-2.456949291546454,2.3546797007763516,3960,3.4934554295794777,2.487405577084344,0.6810137127918244,0.5542239888410061,-2.4016622478827347,2.0743925216101102,4.78821269563317
5.0,5,2,51002,53020,4.1084049874484725,5.1195959595959595,0.0595959595959596,poisson,poisson,,1.5004192436309887,0.31201257373487984,22578.811981619885,-11192.697416904193,False,9.9,0.28172659673176154,0.26054459947403885,0.0004192436309886638,0.01201257373487985,990,3.596383341112171,2.6440603969431367,0.563002144587554,0.49638258177690864,-2.693845012208452,2.2684405946845554,3960,3.1887969830970677,2.3698393513599068,0.7313977258255373,0.567790718854436,-2.5013871127108205,1.854659596431705,
5.0,5,2,51002,53020,4.1084049874484725,5.1195959595959595,0.0595959595959596,nb_oracle,nb,5.0,1.5086711769530343,0.3028340407295939,21799.09346863432,-10800.535575318416,False,9.38,0.33204061291963405,0.28523756218153845,0.00867117695303432,0.002834040729593923,990,3.856474515315195,2.722341918932815,0.496080739930579,0.47335102345345076,-2.4902466019426925,2.3694791230691403,3960,3.3994147524743514,2.4559923887122794,0.6860750985237043,0.558139928403406,-2.4025617637301275,1.9777002272188149,5.306086952339176
5.0,5,2,51002,53020,4.1084049874484725,5.1195959595959595,0.0595959595959596,nb_moment,nb,5.306086952339176,1.5094564351037114,0.3017637416639838,21790.650336151775,-10796.314009077143,False,8.83,0.3194483986271493,0.2831007446913913,0.009456435103711414,0.0017637416639837977,990,3.878387061227353,2.698156585224588,0.48838465412580995,0.4791779300653198,-2.4980373450593016,2.4703134351426415,3960,3.411057153268742,2.4617003758340736,0.6836515975843452,0.5571499774602409,-2.404059619782065,1.9827607062787689,5.306086952339176
5.0,5,3,51003,53030,4.474434467596002,5.111313131313131,0.06303030303030303,poisson,poisson,,1.4877351543763764,0.3126281328299959,22536.579769255568,-11171.581310722035,False,8.32,0.29507611850850096,0.27395320287934216,0.012264845623623621,0.01262813282999592,990,4.2367749462078885,2.8289512358682094,0.5604609994841154,0.4956089441901375,-2.8203448755576614,2.649356986869297,3960,3.1916673739072,2.3663339152741605,0.7360631310829375,0.5776737081223318,-2.4887853746695336,1.8491862323052504,
5.0,5,3,51003,53030,4.474434467596002,5.111313131313131,0.06303030303030303,nb_oracle,nb,5.0,1.4976990005433986,0.30336823804970636,21774.6553578406,-10788.316519921555,False,8.64,0.3219266011494028,0.2822494660615651,0.002300999456601449,0.0033682380497063735,990,4.32759529714136,2.8240798277281653,0.5335014137803533,0.4875349831949729,-2.5130752195650294,2.727637401072493,3960,3.4119087983928877,2.46083359449604,0.6902821166453744,0.5599270347389982,-2.3964482679647032,1.9743626014405051,5.2023965390560285
5.0,5,3,51003,53030,4.474434467596002,5.111313131313131,0.06303030303030303,nb_moment,nb,5.2023965390560285,1.4978675331875997,0.3031860750806963,21762.133715848202,-10782.055698925356,False,8.72,0.3251897290638185,0.2890612486117976,0.002132466812400313,0.0031860750806962934,990,4.252222025804736,2.7952817130664833,0.5502624413242352,0.4819829977876789,-2.5135442873466447,2.6990833783705765,3960,3.4701782490826134,2.4664131998247734,0.677815410141851,0.5611928037608189,-2.394270945106534,1.956507695324459,5.2023965390560285
5.0,5,4,51004,53040,4.563256927497931,5.17030303030303,0.06808080808080808,poisson,poisson,,1.5064157189467375,0.3112841400082951,22706.838521299353,-11256.710686743927,False,8.4,0.3029082479282244,0.24228101364314894,0.006415718946737536,0.011284140008295085,990,4.00792548842261,2.704867696325188,0.560820871376029,0.529801921164984,-2.707174519337393,2.3206136309467817,3960,3.2238455854248977,2.372973258690334,0.760362691849243,0.5819206321923351,-2.5093932428716283,1.8648311704838494,
5.0,5,4,51004,53040,4.563256927497931,5.17030303030303,0.06808080808080808,nb_oracle,nb,5.0,1.5138393826513254,0.3042160664181229,21884.258492017823,-10843.118087010167,False,8.91,0.3349044876238718,0.25946652907349216,0.01383938265132545,0.004216066418122888,990,4.265907492870317,2.8203142699147072,0.49459886076788234,0.49945988262615165,-2.5051242726851592,2.5419415673227714,3960,3.594644722760931,2.4933708158346723,0.6931609766400902,0.5722523019821267,-2.408884201175492,1.994367839556492,5.221286020215092
5.0,5,4,51004,53040,4.563256927497931,5.17030303030303,0.06808080808080808,nb_moment,nb,5.221286020215092,1.5126441024276767,0.30495449308346984,21875.42707210891,-10838.70237705571,False,8.99,0.31058465940206864,0.27244356448648693,0.012644102427676662,0.004954493083469846,990,4.419062884985313,2.7775609205287464,0.5029268651163837,0.5116334885843807,-2.485379786004687,2.4404315680470385,3960,3.6517222410803543,2.5113711624319985,0.6907856928411441,0.5677864683866883,-2.409135273676948,1.9873269838882202,5.221286020215092
