k,split_trial,model_trial,model_seed,split_seed,condition,family_y,nb_r,w0,w,bic_train,nan_occurred,runtime_s,r_hat_train,train_n_pairs,train_rmse,train_mae,train_pearson,train_spearman,train_mean_ll,train_pearson_dispersion,train_hc_density,train_hc_auc,train_hc_ap,test_n_pairs,test_rmse,test_mae,test_pearson,test_spearman,test_mean_ll,test_pearson_dispersion,test_hc_density,test_hc_auc,test_hc_ap
5,1,0,42510,41100,poisson_full,poisson,,3.3951859794560195,0.19184021208220006,34553.9521152762,False,8.52,,3960,5.689092602963352,4.34335841828556,0.9631910555660677,0.962869132238338,-3.1761713628979575,0.7746370609426394,0.06843434343434343,0.9906413702250333,0.9052013605187476,990,5.732629530476983,4.4099871468415,0.9644030236030872,0.9666722612217621,-3.1813564463113706,0.7826417185653435,0.0696969696969697,0.9843113188248438,0.8531766176349993
5,1,1,42511,41100,poisson_strict,poisson,,3.17732367508987,0.23368415345083232,27817.07246848657,False,8.4,1000000.0,3960,5.526956918228837,4.251936758873472,0.9665343838688637,0.9686196818943029,-3.124864799010932,0.7235038442743167,0.06843434343434343,0.9908534298137777,0.9004693385753387,990,6.534329620800654,4.91208983138527,0.955389812565656,0.9610852001442883,-3.2453724836418085,0.9620234766037481,0.0696969696969697,0.9786463988418386,0.8017824809035753
5,1,1,42511,41100,nb_strict,nb,1000000.0,3.181836351020414,0.23247745612749537,27900.539140345772,False,8.53,1000000.0,3960,5.5448006326602535,4.304777102295869,0.9665531375959742,0.9678356929548747,-3.1353621651733787,0.7477940740825918,0.06843434343434343,0.9915636293798556,0.9080476705948314,990,6.400057175012908,4.919267767361094,0.9571802761769073,0.9610094596311038,-3.2466338089813225,0.970037413369857,0.0696969696969697,0.9809753103904074,0.8329237852104672
5,1,1,42511,41100,poisson_full,poisson,,3.392545311858837,0.19278965892104358,34528.646372293195,False,8.53,,3960,5.6401564608220465,4.300332041652849,0.9638636306330851,0.963392203501855,-3.1654296485361373,0.7524715577043556,0.06843434343434343,0.9916876642336497,0.9159776026245162,990,5.689678602857397,4.361177560838556,0.9651864626643853,0.967697507121589,-3.1656891538029854,0.7513540703305598,0.0696969696969697,0.9824702198303672,0.8330477071286679
3,2,0,42320,41200,poisson_strict,poisson,,3.41619387002168,0.2720260246841685,29118.70389539364,False,8.16,166.71520731137204,3960,6.957238018049865,5.329577668131548,0.9453146096155594,0.9447773306766795,-3.357744932179559,1.139031740967543,0.0702020202020202,0.984364925224405,0.8492312078200934,990,7.531124600921405,5.6830584510815445,0.9311762747165598,0.9316911391089341,-3.455121389479029,1.3326093827054764,0.06262626262626263,0.9744507786429366,0.819138244757839
3,2,0,42320,41200,nb_strict,nb,166.71520731137204,3.397064984444083,0.2770874569323829,29114.35039491108,False,8.45,166.71520731137204,3960,7.018906750765461,5.372178340917618,0.9442292093116418,0.9444557481941873,-3.360496041772414,1.1420417792745854,0.0702020202020202,0.9835188883114041,0.8443607545835974,990,7.546433417429142,5.680179064263042,0.9306580509815441,0.9321641813002914,-3.4307127470059964,1.324656991327357,0.06262626262626263,0.9735122358175752,0.8085373485445434
3,2,0,42320,41200,poisson_full,poisson,,3.417514341519927,0.2709887870112701,35797.29493747582,False,8.11,,3960,6.963749423965863,5.309655906554424,0.9451990258063512,0.9449666787532903,-3.3554538730370833,1.134953706723829,0.0702020202020202,0.9839663304663169,0.850710280162608,990,7.04660905154607,5.315761027086263,0.9400122406264624,0.9409349212039083,-3.3713267230738295,1.172939966347898,0.06262626262626263,0.9777009176863181,0.8458735183087821
3,2,1,42321,41200,poisson_strict,poisson,,3.413801875487602,0.271898122739656,29102.391219149573,False,8.2,179.87331044938833,3960,6.935484514682702,5.324647302979971,0.9458825360300053,0.9454689673245507,-3.3547872670378966,1.1267577463611271,0.0702020202020202,0.984625770323448,0.8533668978933846,990,7.512613614562291,5.646492629085007,0.9317633246314678,0.9329406881373852,-3.4432079660143047,1.3043371989870132,0.06262626262626263,0.9748852892102335,0.8216398364060854
3,2,1,42321,41200,nb_strict,nb,179.87331044938833,3.3959311026493264,0.27667666166496946,29102.1327127388,False,8.53,179.87331044938833,3960,7.032598065519844,5.38006410567071,0.9441256675757347,0.9451122730521994,-3.360455840273793,1.139813935800406,0.0702020202020202,0.9828682409857014,0.8447600055029347,990,7.524720321832608,5.716567646143916,0.9316610356187135,0.9329235695871926,-3.4258565521728057,1.304298730954661,0.06262626262626263,0.9754414627363738,0.8250370782583275
3,2,1,42321,41200,poisson_full,poisson,,3.4158394013409166,0.27112383826657044,35782.8916329355,False,8.12,,3960,6.950611795009524,5.306180272589233,0.9456667820511284,0.9453237728841468,-3.35342150592748,1.1236339683532832,0.0702020202020202,0.9845173291024975,0.8531614408401215,990,6.9885164539256275,5.3068997368389255,0.9411507895788198,0.9420819630179655,-3.3612612253222878,1.150118609444219,0.06262626262626263,0.9781875695216908,0.8324832533934806
5,2,0,42520,41200,poisson_strict,poisson,,3.0962136622246454,0.27793114449601725,32013.29838572636,False,8.38,18.711016862703833,3960,7.748884762606992,6.2718184977754605,0.9583947503627426,0.961496610777871,-3.6024365954131814,1.8705365592982552,0.0702020202020202,0.9878926842230724,0.8859302806558049,990,48.18847375798855,8.854204696949711,0.39727958379725337,0.9335800610395187,-5.512194146106303,4.221766222855284,0.06262626262626263,0.9742943548387096,0.7390661280568704
5,2,0,42520,41200,nb_strict,nb,18.711016862703833,3.3393205329242237,0.20047403260162683,30935.78423956811,False,8.96,18.711016862703833,3960,7.092985659734122,5.381886273449305,0.9435011265348149,0.9478785398007088,-3.5420669702714833,1.0725869971972344,0.0702020202020202,0.9806642464409787,0.8094008103648908,990,7.716350665836349,5.752840239999464,0.9290819569523985,0.9351441263210739,-3.5666649732064273,1.2774966099230611,0.06262626262626263,0.9731472469410456,0.7314160620498743
5,2,0,42520,41200,poisson_full,poisson,,3.39538317116869,0.19196174126676843,34545.56242217946,False,8.55,,3960,5.778679160239242,4.40084239426238,0.9626770238181628,0.9625840140004449,-3.1794716560698224,0.7786964245119621,0.0702020202020202,0.990470849827471,0.8990339550381952,990,5.659111742443139,4.223285171330323,0.9616931854028794,0.9625384325957381,-3.1665277267608336,0.7747212121533216,0.06262626262626263,0.9851397385984427,0.8564103474657242
5,2,1,42521,41200,poisson_strict,poisson,,3.3151593700071804,0.20531446758842714,27879.931129249235,False,8.47,1000000.0,3960,5.544938895558943,4.2259751701133785,0.9654649480893472,0.9662381897510838,-3.1358448989697902,0.7118134011316721,0.0702020202020202,0.9895036713703453,0.895319544103229,990,6.093326054158242,4.544609811006781,0.9554124553392894,0.9594269938559553,-3.2041690979096944,0.8572915760623375,0.06262626262626263,0.9827933815350389,0.8440882132236203
5,2,1,42521,41200,nb_strict,nb,1000000.0,3.3322025930592543,0.20226089776554712,27949.332756750282,False,8.77,1000000.0,3960,5.5601638271068605,4.243503289385042,0.9653103891250346,0.9658540810134131,-3.144412305696856,0.7240517841421076,0.0702020202020202,0.9885198847982993,0.890772941820236,990,6.053622860646817,4.55240443714069,0.9559656790252437,0.9596596713176222,-3.205305285401801,0.855312340238094,0.06262626262626263,0.9832626529477198,0.8348982359126996
5,2,1,42521,41200,poisson_full,poisson,,3.3939376277934614,0.19132393458495975,34536.53462738737,False,8.35,,3960,5.69968882972123,4.34446543255208,0.9638617297496087,0.9631973093031791,-3.173976674975865,0.7666199068445482,0.0702020202020202,0.9901054712992234,0.9019625268241084,990,5.586749148692707,4.25447465774119,0.9628679981744104,0.9635296510750226,-3.154473129374515,0.7459281544620787,0.06262626262626263,0.9879727474972191,0.8769073117788202
