run_code_sha,scientific_baseline_sha,reviewed_full_execution_main_sha,protocol_hash,fit_index,estimand,role,K_TRUE,replicate,K,start,data_seed,split_seed,model_seed,mask_design,mask_group_id,anchor_mask_hash,anchor_train_mask_hash,heldout_mean_log_score,internal_retry,warning_count,q_failure,nan_occurred,finite_state,real_full_fits_executed
ef85b4c921546129b8d4f7440f8a09a41aa652e5,68c78e1191889609dead05ea5a9fb11525ce92e2,ddc9b0b4c38da995fedf43ceef12f17dfb4db353,2d19c5fe6edadd0823925ed7dd051cb27837bccf51d5102e0bcee53271654eb9,125,A,primary,4,3,7,1,51403,42003,573071,S_C,r3,3e56e119afbb8aabbd44551af3351ee6a55c0b96c7d9e6aac153faecff6a9110,dd38a6dc0c729eb26b133f73a06b99d12c5088e5248da46847456f733bcb326f,-0.558491165016116,0,0,False,False,True,336
ef85b4c921546129b8d4f7440f8a09a41aa652e5,68c78e1191889609dead05ea5a9fb11525ce92e2,ddc9b0b4c38da995fedf43ceef12f17dfb4db353,2d19c5fe6edadd0823925ed7dd051cb27837bccf51d5102e0bcee53271654eb9,126,A,primary,4,3,7,2,51403,42003,573072,S_C,r3,3e56e119afbb8aabbd44551af3351ee6a55c0b96c7d9e6aac153faecff6a9110,dd38a6dc0c729eb26b133f73a06b99d12c5088e5248da46847456f733bcb326f,-0.595803760141717,0,0,False,False,True,336
ef85b4c921546129b8d4f7440f8a09a41aa652e5,68c78e1191889609dead05ea5a9fb11525ce92e2,ddc9b0b4c38da995fedf43ceef12f17dfb4db353,2d19c5fe6edadd0823925ed7dd051cb27837bccf51d5102e0bcee53271654eb9,127,A,primary,5,1,1,1,51501,42001,581011,S_C,r1,387bda3b61226f2e22e1ca9065e35213fccc999c0b4abfa89dcce5562c2093ce,2ed450a0e79277ccd6dda97bafa504854a564af0cb41a3cd02c7b0332341dbd5,-0.6120552917245988,0,0,False,False,True,336
ef85b4c921546129b8d4f7440f8a09a41aa652e5,68c78e1191889609dead05ea5a9fb11525ce92e2,ddc9b0b4c38da995fedf43ceef12f17dfb4db353,2d19c5fe6edadd0823925ed7dd051cb27837bccf51d5102e0bcee53271654eb9,128,A,primary,5,1,1,2,51501,42001,581012,S_C,r1,387bda3b61226f2e22e1ca9065e35213fccc999c0b4abfa89dcce5562c2093ce,2ed450a0e79277ccd6dda97bafa504854a564af0cb41a3cd02c7b0332341dbd5,-0.6136794926187368,0,0,False,False,True,336
ef85b4c921546129b8d4f7440f8a09a41aa652e5,68c78e1191889609dead05ea5a9fb11525ce92e2,ddc9b0b4c38da995fedf43ceef12f17dfb4db353,2d19c5fe6edadd0823925ed7dd051cb27837bccf51d5102e0bcee53271654eb9,129,A,primary,5,1,2,1,51501,42001,581021,S_C,r1,387bda3b61226f2e22e1ca9065e35213fccc999c0b4abfa89dcce5562c2093ce,2ed450a0e79277ccd6dda97bafa504854a564af0cb41a3cd02c7b0332341dbd5,-0.5827186448145479,0,0,False,False,True,336
ef85b4c921546129b8d4f7440f8a09a41aa652e5,68c78e1191889609dead05ea5a9fb11525ce92e2,ddc9b0b4c38da995fedf43ceef12f17dfb4db353,2d19c5fe6edadd0823925ed7dd051cb27837bccf51d5102e0bcee53271654eb9,130,A,primary,5,1,2,2,51501,42001,581022,S_C,r1,387bda3b61226f2e22e1ca9065e35213fccc999c0b4abfa89dcce5562c2093ce,2ed450a0e79277ccd6dda97bafa504854a564af0cb41a3cd02c7b0332341dbd5,-0.576997503324978,0,0,False,False,True,336
ef85b4c921546129b8d4f7440f8a09a41aa652e5,68c78e1191889609dead05ea5a9fb11525ce92e2,ddc9b0b4c38da995fedf43ceef12f17dfb4db353,2d19c5fe6edadd0823925ed7dd051cb27837bccf51d5102e0bcee53271654eb9,131,A,primary,5,1,3,1,51501,42001,581031,S_C,r1,387bda3b61226f2e22e1ca9065e35213fccc999c0b4abfa89dcce5562c2093ce,2ed450a0e79277ccd6dda97bafa504854a564af0cb41a3cd02c7b0332341dbd5,-0.5464879573136082,0,0,False,False,True,336
ef85b4c921546129b8d4f7440f8a09a41aa652e5,68c78e1191889609dead05ea5a9fb11525ce92e2,ddc9b0b4c38da995fedf43ceef12f17dfb4db353,2d19c5fe6edadd0823925ed7dd051cb27837bccf51d5102e0bcee53271654eb9,132,A,primary,5,1,3,2,51501,42001,581032,S_C,r1,387bda3b61226f2e22e1ca9065e35213fccc999c0b4abfa89dcce5562c2093ce,2ed450a0e79277ccd6dda97bafa504854a564af0cb41a3cd02c7b0332341dbd5,-0.5311066915311906,0,0,False,False,True,336
ef85b4c921546129b8d4f7440f8a09a41aa652e5,68c78e1191889609dead05ea5a9fb11525ce92e2,ddc9b0b4c38da995fedf43ceef12f17dfb4db353,2d19c5fe6edadd0823925ed7dd051cb27837bccf51d5102e0bcee53271654eb9,133,A,primary,5,1,4,1,51501,42001,581041,S_C,r1,387bda3b61226f2e22e1ca9065e35213fccc999c0b4abfa89dcce5562c2093ce,2ed450a0e79277ccd6dda97bafa504854a564af0cb41a3cd02c7b0332341dbd5,-0.5221190721929179,0,0,False,False,True,336
ef85b4c921546129b8d4f7440f8a09a41aa652e5,68c78e1191889609dead05ea5a9fb11525ce92e2,ddc9b0b4c38da995fedf43ceef12f17dfb4db353,2d19c5fe6edadd0823925ed7dd051cb27837bccf51d5102e0bcee53271654eb9,134,A,primary,5,1,4,2,51501,42001,581042,S_C,r1,387bda3b61226f2e22e1ca9065e35213fccc999c0b4abfa89dcce5562c2093ce,2ed450a0e79277ccd6dda97bafa504854a564af0cb41a3cd02c7b0332341dbd5,-0.5286085976688806,0,0,False,False,True,336
ef85b4c921546129b8d4f7440f8a09a41aa652e5,68c78e1191889609dead05ea5a9fb11525ce92e2,ddc9b0b4c38da995fedf43ceef12f17dfb4db353,2d19c5fe6edadd0823925ed7dd051cb27837bccf51d5102e0bcee53271654eb9,135,A,primary,5,1,5,1,51501,42001,581051,S_C,r1,387bda3b61226f2e22e1ca9065e35213fccc999c0b4abfa89dcce5562c2093ce,2ed450a0e79277ccd6dda97bafa504854a564af0cb41a3cd02c7b0332341dbd5,-0.5073324453268684,0,0,False,False,True,336
ef85b4c921546129b8d4f7440f8a09a41aa652e5,68c78e1191889609dead05ea5a9fb11525ce92e2,ddc9b0b4c38da995fedf43ceef12f17dfb4db353,2d19c5fe6edadd0823925ed7dd051cb27837bccf51d5102e0bcee53271654eb9,136,A,primary,5,1,5,2,51501,42001,581052,S_C,r1,387bda3b61226f2e22e1ca9065e35213fccc999c0b4abfa89dcce5562c2093ce,2ed450a0e79277ccd6dda97bafa504854a564af0cb41a3cd02c7b0332341dbd5,-0.552342535555022,0,0,False,False,True,336
ef85b4c921546129b8d4f7440f8a09a41aa652e5,68c78e1191889609dead05ea5a9fb11525ce92e2,ddc9b0b4c38da995fedf43ceef12f17dfb4db353,2d19c5fe6edadd0823925ed7dd051cb27837bccf51d5102e0bcee53271654eb9,137,A,primary,5,1,6,1,51501,42001,581061,S_C,r1,387bda3b61226f2e22e1ca9065e35213fccc999c0b4abfa89dcce5562c2093ce,2ed450a0e79277ccd6dda97bafa504854a564af0cb41a3cd02c7b0332341dbd5,-0.5299038457803085,0,0,False,False,True,336
ef85b4c921546129b8d4f7440f8a09a41aa652e5,68c78e1191889609dead05ea5a9fb11525ce92e2,ddc9b0b4c38da995fedf43ceef12f17dfb4db353,2d19c5fe6edadd0823925ed7dd051cb27837bccf51d5102e0bcee53271654eb9,138,A,primary,5,1,6,2,51501,42001,581062,S_C,r1,387bda3b61226f2e22e1ca9065e35213fccc999c0b4abfa89dcce5562c2093ce,2ed450a0e79277ccd6dda97bafa504854a564af0cb41a3cd02c7b0332341dbd5,-0.59769764300569,0,0,False,False,True,336
ef85b4c921546129b8d4f7440f8a09a41aa652e5,68c78e1191889609dead05ea5a9fb11525ce92e2,ddc9b0b4c38da995fedf43ceef12f17dfb4db353,2d19c5fe6edadd0823925ed7dd051cb27837bccf51d5102e0bcee53271654eb9,139,A,primary,5,1,7,1,51501,42001,581071,S_C,r1,387bda3b61226f2e22e1ca9065e35213fccc999c0b4abfa89dcce5562c2093ce,2ed450a0e79277ccd6dda97bafa504854a564af0cb41a3cd02c7b0332341dbd5,-0.5003798365942762,0,0,False,False,True,336
ef85b4c921546129b8d4f7440f8a09a41aa652e5,68c78e1191889609dead05ea5a9fb11525ce92e2,ddc9b0b4c38da995fedf43ceef12f17dfb4db353,2d19c5fe6edadd0823925ed7dd051cb27837bccf51d5102e0bcee53271654eb9,140,A,primary,5,1,7,2,51501,42001,581072,S_C,r1,387bda3b61226f2e22e1ca9065e35213fccc999c0b4abfa89dcce5562c2093ce,2ed450a0e79277ccd6dda97bafa504854a564af0cb41a3cd02c7b0332341dbd5,-0.6840754061957189,0,0,False,False,True,336
ef85b4c921546129b8d4f7440f8a09a41aa652e5,68c78e1191889609dead05ea5a9fb11525ce92e2,ddc9b0b4c38da995fedf43ceef12f17dfb4db353,2d19c5fe6edadd0823925ed7dd051cb27837bccf51d5102e0bcee53271654eb9,141,A,primary,5,2,1,1,51502,42002,582011,S_C,r2,cb94a1861b00649eb0a7829154922ce5351407adcb7efa36b7f8d7aaf0b75578,ed37ddf1607a13084d9d4abcb81153324c0ad6022561dd00e240e14f4b85b96a,-0.6045555723327483,0,0,False,False,True,336
ef85b4c921546129b8d4f7440f8a09a41aa652e5,68c78e1191889609dead05ea5a9fb11525ce92e2,ddc9b0b4c38da995fedf43ceef12f17dfb4db353,2d19c5fe6edadd0823925ed7dd051cb27837bccf51d5102e0bcee53271654eb9,142,A,primary,5,2,1,2,51502,42002,582012,S_C,r2,cb94a1861b00649eb0a7829154922ce5351407adcb7efa36b7f8d7aaf0b75578,ed37ddf1607a13084d9d4abcb81153324c0ad6022561dd00e240e14f4b85b96a,-0.6056769352390089,0,0,False,False,True,336
ef85b4c921546129b8d4f7440f8a09a41aa652e5,68c78e1191889609dead05ea5a9fb11525ce92e2,ddc9b0b4c38da995fedf43ceef12f17dfb4db353,2d19c5fe6edadd0823925ed7dd051cb27837bccf51d5102e0bcee53271654eb9,143,A,primary,5,2,2,1,51502,42002,582021,S_C,r2,cb94a1861b00649eb0a7829154922ce5351407adcb7efa36b7f8d7aaf0b75578,ed37ddf1607a13084d9d4abcb81153324c0ad6022561dd00e240e14f4b85b96a,-0.5244856796432052,0,0,False,False,True,336
ef85b4c921546129b8d4f7440f8a09a41aa652e5,68c78e1191889609dead05ea5a9fb11525ce92e2,ddc9b0b4c38da995fedf43ceef12f17dfb4db353,2d19c5fe6edadd0823925ed7dd051cb27837bccf51d5102e0bcee53271654eb9,144,A,primary,5,2,2,2,51502,42002,582022,S_C,r2,cb94a1861b00649eb0a7829154922ce5351407adcb7efa36b7f8d7aaf0b75578,ed37ddf1607a13084d9d4abcb81153324c0ad6022561dd00e240e14f4b85b96a,-0.5343566078136905,0,0,False,False,True,336
ef85b4c921546129b8d4f7440f8a09a41aa652e5,68c78e1191889609dead05ea5a9fb11525ce92e2,ddc9b0b4c38da995fedf43ceef12f17dfb4db353,2d19c5fe6edadd0823925ed7dd051cb27837bccf51d5102e0bcee53271654eb9,145,A,primary,5,2,3,1,51502,42002,582031,S_C,r2,cb94a1861b00649eb0a7829154922ce5351407adcb7efa36b7f8d7aaf0b75578,ed37ddf1607a13084d9d4abcb81153324c0ad6022561dd00e240e14f4b85b96a,-0.4863345163312441,0,0,False,False,True,336
ef85b4c921546129b8d4f7440f8a09a41aa652e5,68c78e1191889609dead05ea5a9fb11525ce92e2,ddc9b0b4c38da995fedf43ceef12f17dfb4db353,2d19c5fe6edadd0823925ed7dd051cb27837bccf51d5102e0bcee53271654eb9,146,A,primary,5,2,3,2,51502,42002,582032,S_C,r2,cb94a1861b00649eb0a7829154922ce5351407adcb7efa36b7f8d7aaf0b75578,ed37ddf1607a13084d9d4abcb81153324c0ad6022561dd00e240e14f4b85b96a,-0.4806164695895343,0,0,False,False,True,336
ef85b4c921546129b8d4f7440f8a09a41aa652e5,68c78e1191889609dead05ea5a9fb11525ce92e2,ddc9b0b4c38da995fedf43ceef12f17dfb4db353,2d19c5fe6edadd0823925ed7dd051cb27837bccf51d5102e0bcee53271654eb9,147,A,primary,5,2,4,1,51502,42002,582041,S_C,r2,cb94a1861b00649eb0a7829154922ce5351407adcb7efa36b7f8d7aaf0b75578,ed37ddf1607a13084d9d4abcb81153324c0ad6022561dd00e240e14f4b85b96a,-0.4523012637929989,0,0,False,False,True,336
ef85b4c921546129b8d4f7440f8a09a41aa652e5,68c78e1191889609dead05ea5a9fb11525ce92e2,ddc9b0b4c38da995fedf43ceef12f17dfb4db353,2d19c5fe6edadd0823925ed7dd051cb27837bccf51d5102e0bcee53271654eb9,148,A,primary,5,2,4,2,51502,42002,582042,S_C,r2,cb94a1861b00649eb0a7829154922ce5351407adcb7efa36b7f8d7aaf0b75578,ed37ddf1607a13084d9d4abcb81153324c0ad6022561dd00e240e14f4b85b96a,-0.46013448671227897,0,0,False,False,True,336
ef85b4c921546129b8d4f7440f8a09a41aa652e5,68c78e1191889609dead05ea5a9fb11525ce92e2,ddc9b0b4c38da995fedf43ceef12f17dfb4db353,2d19c5fe6edadd0823925ed7dd051cb27837bccf51d5102e0bcee53271654eb9,149,A,primary,5,2,5,1,51502,42002,582051,S_C,r2,cb94a1861b00649eb0a7829154922ce5351407adcb7efa36b7f8d7aaf0b75578,ed37ddf1607a13084d9d4abcb81153324c0ad6022561dd00e240e14f4b85b96a,-0.4821642409872607,0,0,False,False,True,336
ef85b4c921546129b8d4f7440f8a09a41aa652e5,68c78e1191889609dead05ea5a9fb11525ce92e2,ddc9b0b4c38da995fedf43ceef12f17dfb4db353,2d19c5fe6edadd0823925ed7dd051cb27837bccf51d5102e0bcee53271654eb9,150,A,primary,5,2,5,2,51502,42002,582052,S_C,r2,cb94a1861b00649eb0a7829154922ce5351407adcb7efa36b7f8d7aaf0b75578,ed37ddf1607a13084d9d4abcb81153324c0ad6022561dd00e240e14f4b85b96a,-0.48447057380376707,0,0,False,False,True,336
ef85b4c921546129b8d4f7440f8a09a41aa652e5,68c78e1191889609dead05ea5a9fb11525ce92e2,ddc9b0b4c38da995fedf43ceef12f17dfb4db353,2d19c5fe6edadd0823925ed7dd051cb27837bccf51d5102e0bcee53271654eb9,151,A,primary,5,2,6,1,51502,42002,582061,S_C,r2,cb94a1861b00649eb0a7829154922ce5351407adcb7efa36b7f8d7aaf0b75578,ed37ddf1607a13084d9d4abcb81153324c0ad6022561dd00e240e14f4b85b96a,-0.5376657125901967,0,0,False,False,True,336
ef85b4c921546129b8d4f7440f8a09a41aa652e5,68c78e1191889609dead05ea5a9fb11525ce92e2,ddc9b0b4c38da995fedf43ceef12f17dfb4db353,2d19c5fe6edadd0823925ed7dd051cb27837bccf51d5102e0bcee53271654eb9,152,A,primary,5,2,6,2,51502,42002,582062,S_C,r2,cb94a1861b00649eb0a7829154922ce5351407adcb7efa36b7f8d7aaf0b75578,ed37ddf1607a13084d9d4abcb81153324c0ad6022561dd00e240e14f4b85b96a,-0.5111575834785762,0,0,False,False,True,336
