rmse_Z,rmse_F,rmse_Y,rmse_X,w0_err,w_err,model_fx,model_fy,fix_w,fix_x,condition,trial
1.1529843463065776,3.338268947394426,748.6681326644924,2.361170886883583,0.0891940786399561,0.5537137129068355,bernoulli,poisson,False,False,"X=Bernoulli, Y=Poisson",2
0.7092406274408138,3.5112371087679985,333.69893232686957,2.2359528290439603,0.3202916229186501,1.199906525459727,bernoulli,poisson,False,False,"X=Bernoulli, Y=Poisson",3
0.7161215868631426,3.325273393088535,257.84029446202453,2.0821053679068533,0.4331107170991828,1.1646474402849931,bernoulli,poisson,False,False,"X=Bernoulli, Y=Poisson",4
0.853066454877743,3.5817408731332505,480.41967955642144,2.2320984874551177,0.36635948227952797,1.189604771782404,bernoulli,poisson,False,False,"X=Bernoulli, Y=Poisson",5
0.6730820150507735,3.4016245442185244,294.33485424004886,2.1077634060791506,0.34045954783500787,1.1739740613743352,bernoulli,poisson,False,False,"X=Bernoulli, Y=Poisson",6
1.2736027681185211,3.1077031385799914,561.7732650028546,2.1284387542463152,0.06471074023482526,0.016881153239409086,bernoulli,poisson,False,False,"X=Bernoulli, Y=Poisson",7
0.5136371019022649,3.4420869512139323,522.5627193238296,2.220103309947732,0.3104019990283662,1.1520486249618422,bernoulli,poisson,False,False,"X=Bernoulli, Y=Poisson",8
0.7197380343105928,3.4841642760278337,580.8181892133713,2.1784722113996473,0.425218269161203,1.1615380584011077,bernoulli,poisson,False,False,"X=Bernoulli, Y=Poisson",9
0.2737352739226836,0.0869573676375829,2.6935684118644407,1.2403404986410325,1.365646516063868,1.3281807062340145,poisson,gaussian,False,False,"X=Poisson, Y=Gaussian",0
0.29016274620116,0.08018423134450609,2.6984803544235154,1.2215079706067964,1.3665513209629843,1.3330193171291131,poisson,gaussian,False,False,"X=Poisson, Y=Gaussian",1
0.3055267128540556,0.0717625521500173,2.705238452303553,1.2344010151521374,1.352689552245391,1.3436022368034033,poisson,gaussian,False,False,"X=Poisson, Y=Gaussian",2
0.28660722080582796,0.06971399640842846,2.6998102828181856,1.2243818633318637,1.3649463631379537,1.3278806606702973,poisson,gaussian,False,False,"X=Poisson, Y=Gaussian",3
0.2807297511571507,0.05658200979979174,2.6864593246600537,1.2123707425548185,1.3609211587081371,1.3283456096789308,poisson,gaussian,False,False,"X=Poisson, Y=Gaussian",4
0.32268543361270835,0.06911876891756538,2.702429521257844,1.2256583418464932,1.3565617472158138,1.338355952790989,poisson,gaussian,False,False,"X=Poisson, Y=Gaussian",5
0.2918436921227782,0.0683612589955075,2.6946273101458886,1.2937466304270018,1.359099301988856,1.3321396950338444,poisson,gaussian,False,False,"X=Poisson, Y=Gaussian",6
0.3059728693048415,0.0710146761240777,2.701972687614319,1.1685701169693552,1.3598886819000295,1.335826207457353,poisson,gaussian,False,False,"X=Poisson, Y=Gaussian",7
0.29809444984158845,0.06801805121278252,2.6954513604488985,1.2624723939059928,1.3463892733953917,1.3370975192390684,poisson,gaussian,False,False,"X=Poisson, Y=Gaussian",8
0.301559777467544,0.08939353394478805,2.703603855054818,1.2081167796790633,1.3531021538824435,1.336833510586197,poisson,gaussian,False,False,"X=Poisson, Y=Gaussian",9
0.25585442852458584,0.07790222402389571,0.11901830063402463,1.1971556018649754,0.036018434853984926,0.06691795682296964,poisson,bernoulli,False,False,"X=Poisson, Y=Bernoulli",0
0.2914786288012447,0.07498287059587108,0.13006156578902114,1.1976459142005849,0.08506841971628243,0.1808282404856052,poisson,bernoulli,False,False,"X=Poisson, Y=Bernoulli",1
0.27634333172066416,0.06775883692248544,0.12272877040052547,1.227481502171545,0.03519042926470939,0.1537564453418716,poisson,bernoulli,False,False,"X=Poisson, Y=Bernoulli",2
0.2724991128952589,0.05728111544275083,0.122082342226841,1.1837138378695933,0.026601640575719565,0.06586338161963567,poisson,bernoulli,False,False,"X=Poisson, Y=Bernoulli",3
