family,k_est,k_true,trial,data_seed,rmse_Z,rmse_F,rmse_sigma,rmse_Y,rmse_X,w0_err,w_err,Q_strict,Q_final,nan_occurred,BIC,elapsed_s
poisson,2,3,2,9146,0.5661938299013834,0.26768489369352194,0.3426791193534498,1.5369365016923078,0.5830095607448016,0.0985627176788479,0.027386014399066516,-19166.794461228106,-5587.3249502237,False,38554.05687539645,14.325952529907227
poisson,2,3,3,9169,0.5067635548327238,0.25051610542886255,0.2637776326619661,1.0687054967348797,0.5230895999290438,0.0950033288992103,0.03111458949991186,-17992.79569425567,-5960.858253533968,False,36206.059341451575,14.255622386932373
poisson,2,3,4,9192,0.7571926527325704,0.3721739575524023,0.3104762879953423,1.0612251957240186,0.552720380372966,0.144695314353201,0.0042617453347427725,-18719.496941159152,-4404.177886860286,False,37659.46183525854,14.283011436462402
poisson,2,3,5,9215,0.8889653874729103,0.5506571759127655,0.3714558410788512,1.413321251450198,0.5961046116646891,0.11350512341317696,0.00923804060648803,-19049.921178282442,-6224.090999951982,False,38320.31030950512,14.167480230331421
poisson,2,3,6,9238,0.8624472885569635,0.5596591365800271,0.2790702098761817,1.5355121814450838,0.5226306695940295,0.09310961809308875,0.04973797653904388,-18661.85486706768,-3740.9478022693024,False,37544.17768707559,14.074035882949829
poisson,2,3,7,9261,0.8486104866310487,0.4526680974502314,0.23854965128439085,1.3636621894432308,0.4905511899872359,0.12532916423220095,0.003595553345867142,-18598.80990507188,-5857.151320668204,False,37418.087763084,14.242492914199829
poisson,2,3,8,9284,0.40809962958446233,0.21616088866139835,0.4383444310425989,1.6160050256340208,0.6677509568478215,0.09114351565516672,0.027812396311127308,-19370.13400791236,-5122.475255774284,False,38960.73596876495,14.241703510284424
poisson,2,3,9,9307,0.6423202372888782,0.3741973285799078,0.2538885395463877,1.1217214500453858,0.4792330591796166,0.10810358654192985,0.04737602354842374,-17572.522948152782,9014.454798363116,False,35365.5138492458,14.052749633789062
poisson,3,3,0,9100,0.15313882282362265,0.032572844168775136,0.011977568214928546,0.5440337544298406,0.31589860798650354,0.030870345943286304,0.009172898106712235,-16122.06854476051,-3046.932327835687,False,32529.743301284507,14.97687292098999
poisson,3,3,1,9123,0.16034233637604414,0.030671103947128815,0.017068231369151105,0.6115011280655007,0.31170164248587057,0.03135149192744554,0.012695938301690746,-16074.931007849164,-3250.965161359212,False,32435.468227461814,14.792783498764038
poisson,3,3,2,9146,0.15271443893232683,0.02387849142140866,0.011427385785770008,0.6240305289551076,0.31070404814226166,0.007973882011632407,0.004910993444895706,-16040.638292128668,-2461.1687811242605,False,32366.882796020822,14.628109693527222
poisson,3,3,3,9169,0.15522984948148127,0.03599342818669056,0.020628609545932434,0.4808571705734776,0.29584135166962555,0.02546888242252912,0.017557911880204946,-15896.511105849644,-3864.573665127945,False,32078.628423462775,14.799861669540405
poisson,3,3,4,9192,0.2881951729562186,0.1904977072913217,0.019346041744424815,1.4065215869027567,0.30515901122854994,0.13643768624810132,0.1185647166477315,-16970.34990221855,-2655.0308479196838,False,34226.306016200586,14.532872200012207
poisson,3,3,5,9215,0.16107969457583224,0.024598272829791885,0.015389201304637463,0.5215346615737705,0.3073778204326155,0.00891002498436955,0.005978974668022441,-16029.1049333424,-3203.2747550119398,False,32343.816078448286,14.497756481170654
