family,condition,trial,data_seed,rmse_Z,rmse_F,rmse_sigma,rmse_Y,rmse_X,w0_err,w_err,Q_final,w_est,nan_occurred,BIC,elapsed_s
poisson,ablation,0,9500,0.32096331367370146,0.16462462761240484,0.019740292499601134,2.839944260750097,0.3305356383094761,0.42424978609613967,0.5,-11165.273811595383,0.0,False,50296.709804559294,15.60403823852539
poisson,ablation,1,9541,0.262301416850217,0.05639253831868747,0.014772805772885044,2.3377235403326666,0.3097371693389033,0.4167148772240352,0.5,-11069.7575365337,0.0,False,49080.10097415317,15.78583574295044
poisson,ablation,2,9582,0.23218308219478734,0.05008300206903691,0.01448604771911162,3.717577660324244,0.3110454541911344,0.42954539393141844,0.5,-10997.460426465446,0.0,False,52554.723279210666,15.47473430633545
poisson,ablation,3,9623,0.2153690606010266,0.06488604816152166,0.020479536978596207,3.332679330713378,0.2979028096661545,0.41441758602670997,0.5,-10982.325732849502,0.0,False,50594.62681743449,15.565416812896729
poisson,ablation,4,9664,0.24775840416331846,0.07401703189315122,0.01861089275453729,3.2340696306320096,0.31091258085709644,0.4186713365254394,0.5,-11046.063489635333,0.0,False,52014.134568864996,15.483188152313232
poisson,ablation,5,9705,0.2100239313286941,0.03821822364067735,0.015885212106254175,6.657825441086348,0.30918236153396095,0.4360850974837139,0.5,-10897.213230836009,0.0,False,55829.13333194784,15.635220766067505
poisson,ablation,6,9746,0.24843597549960406,0.09196188374853333,0.029279743669473227,2.6393861635405003,0.3192558675520447,0.4078413519500167,0.5,-11198.05249068196,0.0,False,49088.27574335624,15.798533916473389
poisson,ablation,7,9787,0.2628844316559729,0.08355914565470517,0.014459636308634097,3.207429876084101,0.31759700822722314,0.43444914161049336,0.5,-10979.130920041633,0.0,False,50485.1982306016,15.661325693130493
poisson,ablation,8,9828,0.24490544970891842,0.05328563023889546,0.01795755530757755,2.1071576673372543,0.3146656770409815,0.37343362450892714,0.5,-11381.995706907463,0.0,False,46894.12302009755,15.820267677307129
poisson,ablation,9,9869,0.24020007155833428,0.050393639409249215,0.015266051729283433,2.338965290327105,0.30370739895810056,0.40037109351348704,0.5,-11146.271364566983,0.0,False,47852.940681771084,16.090088844299316
gaussian,proposed,0,9500,0.02766648332560201,0.02919573341778484,0.016401190675786687,0.03381082638422079,0.3302224628266637,0.000310481818669293,0.0012723358519348693,18521.07006431122,0.49872766414806513,False,-36756.533916858956,12.882132053375244
gaussian,proposed,1,9541,0.028907095851835228,0.031386901293638414,0.01248124800345708,0.034931531574319545,0.30804217573567305,0.0016878977753051216,0.00031566530720672503,18804.333561421812,0.5003156653072067,False,-37323.06091108014,12.413768529891968
gaussian,proposed,2,9582,0.026747695816847886,0.029609962532254203,0.012451561510795258,0.032792227439437924,0.314017877877287,0.0020755730632272904,0.00021228148153762394,18780.179764757748,0.4997877185184624,False,-37274.75331775201,12.547596216201782
gaussian,proposed,3,9623,0.028661104932453184,0.025789829455102928,0.020809891879200314,0.03511204091824978,0.2992143025884029,0.0008940532095842672,0.000631333946026158,18863.61972167574,0.49936866605397384,False,-37441.63323158799,12.8072509765625
