contrast,role,metric,cond_a,cond_b,split,value
sec_mixed_vs_genreonly_test_spearman,secondary,test_spearman,mixed_train_log,genre_only,5,5.683621772012426e-05
sec_mixed_vs_genreonly_test_spearman,secondary,test_spearman,mixed_train_log,genre_only,6,-7.946458906893383e-05
sec_mixed_vs_genreonly_test_spearman,secondary,test_spearman,mixed_train_log,genre_only,7,0.0021600528227035953
sec_mixed_vs_genreonly_test_spearman,secondary,test_spearman,mixed_train_log,genre_only,8,3.91707570248645e-05
sec_mixed_vs_genreonly_test_spearman,secondary,test_spearman,mixed_train_log,genre_only,9,0.0016568398774060578
sec_mixed_vs_genreonly_test_spearman,secondary,test_spearman,mixed_train_log,genre_only,10,0.0014316935969479472
sec_mixed_vs_genreonly_test_spearman,secondary,test_spearman,mixed_train_log,genre_only,11,-8.560369101606735e-05
sec_mixed_vs_genreonly_test_spearman,secondary,test_spearman,mixed_train_log,genre_only,12,7.469002248738921e-05
sec_mixed_vs_genreonly_test_spearman,secondary,test_spearman,mixed_train_log,genre_only,13,-0.001323427915951192
sec_mixed_vs_genreonly_test_spearman,secondary,test_spearman,mixed_train_log,genre_only,14,0.000987612500042312
sec_mixed_vs_genreonly_test_spearman,secondary,test_spearman,mixed_train_log,genre_only,15,-0.001061824583285298
sec_mixed_vs_genreonly_test_spearman,secondary,test_spearman,mixed_train_log,genre_only,16,-0.005960152915920225
sec_mixed_vs_genreonly_test_spearman,secondary,test_spearman,mixed_train_log,genre_only,17,0.0014170594048087404
sec_mixed_vs_genreonly_test_spearman,secondary,test_spearman,mixed_train_log,genre_only,18,0.002010199316013539
sec_mixed_vs_genreonly_test_spearman,secondary,test_spearman,mixed_train_log,genre_only,19,0.005866052363519003
sec_mixed_vs_genreonly_test_spearman,secondary,test_spearman,mixed_train_log,genre_only,20,0.004167541591440838
sec_mixed_vs_genreonly_test_spearman,secondary,test_spearman,mixed_train_log,genre_only,21,-0.00595687959439517
sec_mixed_vs_genreonly_test_spearman,secondary,test_spearman,mixed_train_log,genre_only,22,0.0022017208800002575
sec_mixed_vs_genreonly_test_spearman,secondary,test_spearman,mixed_train_log,genre_only,23,0.0002949703342736143
sec_mixed_vs_genreonly_test_spearman,secondary,test_spearman,mixed_train_log,genre_only,24,0.001293401229179425
sec_mixed_vs_genreonly_test_spearman,secondary,test_spearman,mixed_train_log,genre_only,25,-0.000931063029974144
sec_mixed_vs_genreonly_test_spearman,secondary,test_spearman,mixed_train_log,genre_only,26,0.004308676012696466
sec_mixed_vs_genreonly_test_spearman,secondary,test_spearman,mixed_train_log,genre_only,27,-0.0017296105802822037
sec_mixed_vs_genreonly_test_spearman,secondary,test_spearman,mixed_train_log,genre_only,28,-0.0009239500870582562
sec_mixed_vs_genreonly_test_spearman,secondary,test_spearman,mixed_train_log,genre_only,29,0.0011517397818472386
sec_mixed_vs_genreonly_train_y_ll,secondary,train_y_ll,mixed_train_log,genre_only,0,-0.0031011384270507314
sec_mixed_vs_genreonly_train_y_ll,secondary,train_y_ll,mixed_train_log,genre_only,1,-0.0013195160773071812
sec_mixed_vs_genreonly_train_y_ll,secondary,train_y_ll,mixed_train_log,genre_only,2,-0.00022903116823957959
sec_mixed_vs_genreonly_train_y_ll,secondary,train_y_ll,mixed_train_log,genre_only,3,-0.00043706028503365246
sec_mixed_vs_genreonly_train_y_ll,secondary,train_y_ll,mixed_train_log,genre_only,4,-0.00038724025892733493
sec_mixed_vs_genreonly_train_y_ll,secondary,train_y_ll,mixed_train_log,genre_only,5,-0.00019205576885372722
sec_mixed_vs_genreonly_train_y_ll,secondary,train_y_ll,mixed_train_log,genre_only,6,3.075724625967169e-05
sec_mixed_vs_genreonly_train_y_ll,secondary,train_y_ll,mixed_train_log,genre_only,7,-0.001050171461511873
sec_mixed_vs_genreonly_train_y_ll,secondary,train_y_ll,mixed_train_log,genre_only,8,-0.0013138553197307168
sec_mixed_vs_genreonly_train_y_ll,secondary,train_y_ll,mixed_train_log,genre_only,9,-0.00042516140932491453
sec_mixed_vs_genreonly_train_y_ll,secondary,train_y_ll,mixed_train_log,genre_only,10,-0.0021590423401329772
