K_TRUE,n,replicate,status,unthresholded_rank,min_eigenvalue,eigenvalues,gap_ratios
3,150,3,ok,15,-0.7449341884138542,"[3.2926537171439683, 2.8053616474822847, 2.2735469260072696, 0.5944308436251097, 0.3327132267443253, 0.21908610532796854, 0.16987305810534542, 0.07774732385121255, 0.009215115932627494, -0.1675766461015652, -0.28124103280402585, -0.31569429266077254, -0.384669373554519, -0.6229001706183132, -0.7449341884138542]","[1.173700267877766, 1.233914116920811, 3.824745889937585, 1.7866162083237593, 1.5186413864368928, 1.2897048406116527, 2.184937689050709, 8.436933883374873, -0.054990454499503336, 0.595847072636573, 0.8908651164822665, 0.8206899596492813, 0.6175457829344987, 0.8361814779163498]"
3,150,4,ok,15,-0.6520385205006782,"[2.8963532982887457, 2.5931357903188013, 2.114634425357654, 0.5551351020943056, 0.514373962141785, 0.34596219273118256, 0.2217931647010244, 0.16203661403506567, 0.12401849304988968, 0.022729207153052204, -0.08832697079970793, -0.2532688620279184, -0.3104987965408335, -0.3701751599802204, -0.6520385205006782]","[1.1169308252587369, 1.2262808924432491, 3.809224848834046, 1.0792441743800496, 1.4867924095436078, 1.559841545151029, 1.3687842468309481, 1.3065520314771297, 5.456349278476077, -0.2573303142546734, 0.3487478487978181, 0.8156838765544495, 0.8387888494663565, 0.5677197716723476]"
5,50,1,ok,15,-1.3540410980701605,"[2.8686523118124425, 1.878868583584323, 1.5138413319638908, 1.0894036923354864, 0.7747256710355562, 0.43712453945240703, 0.16488043354149917, 0.06471999536419655, 0.024827156485581384, -0.1666969524159281, -0.37043475003469956, -0.5217455196623212, -0.7952348635559404, -0.8593446799321348, -1.3540410980701605]","[1.5267977424689843, 1.2411264931886132, 1.3896054718875481, 1.4061799331875862, 1.7723225330842043, 2.6511607839894844, 2.5475964980169317, 2.6068227105179496, -0.14893587510607134, 0.450003549613834, 0.7099912429999371, 0.6560898466263222, 0.9253968542852242, 0.6346518441404113]"
5,50,2,ok,15,-0.8948707874480066,"[2.2366450832505893, 1.377502717847983, 1.2315921244089116, 0.7608949541183143, 0.5531643611500211, 0.33559891679309034, 0.1768615612072699, 0.08191808301095868, -0.039603637163756596, -0.16017824134441283, -0.250530492444768, -0.36026218933190096, -0.5101816025480789, -0.6562133672184047, -0.8948707874480066]","[1.6236955864194662, 1.1184731458956831, 1.6186099247247825, 1.3755314108385872, 1.6482900673099259, 1.8975232068645538, 2.1590051269096477, -2.0684484779071326, 0.2472472967074314, 0.6393562706931802, 0.6954115637540864, 0.7061450031372903, 0.7774629838929771, 0.7333051613963113]"
5,50,3,ok,15,-0.9306290152997138,"[2.7147861384181087, 2.0133081806133712, 1.5775838763475232, 1.3933136291486483, 1.0157502171745247, 0.48579950210159684, 0.19392487912519268, 0.03671778294282929, -0.10786791302246942, -0.266561364348741, -0.3783127147089899, -0.5978870607993055, -0.6880946322475834, -0.7262907936446908, -0.9306290152997138]","[1.3484205570510452, 1.276197234770586, 1.1322532438812565, 1.3717089158241855, 2.0908836109965745, 2.5050911687714796, 5.281497508363717, -0.3403957851226879, 0.4046644692339822, 0.704605882870705, 0.6327494597445039, 0.8689023758932328, 0.9474092722483366, 0.7804299905809247]"
5,50,4,ok,15,-1.2357621186218115,"[2.781860747819099, 2.239737455121238, 1.543095713609135, 1.356530643424499, 0.8195677990567861, 0.4159283123924295, 0.1835238861572595, 0.14240777906121574, 0.011684598347397003, -0.17988198205961123, -0.34029183960569515, -0.5529953877087257, -0.673984537323167, -1.0100047637649858, -1.2357621186218115]","[1.242047696911206, 1.4514572462149693, 1.1375310400019134, 1.6551780645673073, 1.9704544620745166, 2.2663442950201333, 1.2887209348189435, 12.187648631751228, -0.06495702467590575, 0.5286109189924891, 0.6153610810673416, 0.8204867576117276, 0.6673082756667016, 0.8173132583894039]"
5,50,5,ok,15,-0.6613085621581075,"[3.5742629165653854, 1.7703498995054283, 1.5952098470552505, 1.2912903150665314, 0.9551486371509639, 0.4521226944078089, 0.41639314568012853, 0.23486385988246752, 0.1685568800844304, 0.08874791932475179, -0.08894113763838181, -0.284330231805255, -0.3487114678961896, -0.4728062476399123, -0.6613085621581075]","[2.0189584655349235, 1.1097912307734845, 1.2353611178235007, 1.3519260404519002, 2.112587244491275, 1.0858072451440584, 1.7729128095250728, 1.393380440862597, 1.8992769787383612, -0.9978275709220674, 0.3128092889513763, 0.8153739064581016, 0.7375356599808874, 0.71495558154723]"
5,50,6,ok,15,-1.0176486544381718,"[4.108785559879626, 2.1666500685283343, 1.6083006821645573, 1.4319921451019866, 0.6493778092591675, 0.35755311559593306, 0.15913530810019297, 0.04874723735940122, -0.15471147238925503, -0.19931712606830926, -0.39015655834484764, -0.46452695996767557, -0.707638043442049, -0.8292777966945554, -1.0176486544381718]","[1.8963770936349031, 1.347167288154298, 1.1231211621276136, 2.2051756692081184, 1.8161715866378367, 2.2468496769479627, 3.264499010003952, -0.31508482600923654, 0.7762076216984629, 0.5108644768496724, 0.8399007850308559, 0.656447126143971, 0.8533184492128523, 0.8148959791553864]"
5,50,7,ok,15,-0.7842850723161943,"[3.1267189284872177, 2.1928759367837167, 1.5743916375265676, 1.2241099659591494, 0.9315414869676018, 0.6313602582225314, 0.42385755830093813, 0.32610943663813785, 0.16593775117970305, 0.002590138188724605, -0.04631143171977898, -0.27098052964099206, -0.32298007581407373, -0.5894057623644612, -0.7842850723161943]","[1.4258530891050614, 1.3928401831635824, 1.2861521279201051, 1.3140691886347762, 1.475451574335975, 1.4895576258056644, 1.2997402426329199, 1.9652516339393808, 64.06521161769037, -0.05592870037784629, 0.17090317072276218, 0.8390007617590144, 0.5479757688801791, 0.7515198021349498]"
5,50,8,ok,15,-1.588745125541896,"[2.773738795383584, 2.316838691130155, 1.7959300433578185, 1.5061654289159374, 0.929561456166765, 0.6809312009566852, 0.40993663986641676, 0.2609792001836759, 0.18363414909289338, -0.012996044573864033, -0.07345818744390063, -0.19809846598810935, -0.31358269668841604, -0.887236014375441, -1.588745125541896]","[1.197208422840415, 1.2900495204136142, 1.1923856495965646, 1.6202967742734469, 1.365132710706695, 1.661064502988988, 1.570763645447244, 1.4211910010901982, -14.130003021241915, 0.17691757755102516, 0.37081653852034313, 0.6317263933250282, 0.3534377455463852, 0.5584508176368558]"
