K_TRUE,n,replicate,data_seed,split_seed,generator_version,F_rank,f_scale,mean_f_row_norm_sq,w0_true,w_true,link_policy,normalization_policy,x_mean,x_max,y_density,n_train_pairs,n_test_pairs,train_mask_hash,test_mask_hash
5,75,3,860753,870753,canonical-clean-v1,5,1.224744871391589,0.49999999999999994,-1.0,0.7745966692414834,canonical_no_clipping_fail_fast,none,1.3137777777777777,17.0,0.3455855855855856,2220,555,de4f7aa4950a7af5ecd66337a9ffeeefc679c238e78b1b75001362caa5f901ad,fe204a3983624d29a7089f44d55e053a881bcd7d25cdb90c6a31ab1a61c4497a
5,75,4,860754,870754,canonical-clean-v1,5,1.224744871391589,0.49999999999999983,-1.0,0.7745966692414834,canonical_no_clipping_fail_fast,none,1.2444444444444445,10.0,0.3333333333333333,2220,555,990a0065cf7282a5b4c1884619eb89d66f5712a1b59f8c73d0a2bde34555a8ef,56902f900d43a2007f78e054a96621e75c26f5664477e76afb82c4ffcb65df44
5,75,5,860755,870755,canonical-clean-v1,5,1.224744871391589,0.4999999999999999,-1.0,0.7745966692414834,canonical_no_clipping_fail_fast,none,1.2382222222222221,19.0,0.33981981981981985,2220,555,2f618f40360d36b2db4fb1d628ba54b1b65ff2b657204656013a418d8b4a1703,2e90cebdbf8ba3fd325e58ec3362b77b424bf6279033f63e973caff4717e83f6
5,75,6,860756,870756,canonical-clean-v1,5,1.224744871391589,0.49999999999999994,-1.0,0.7745966692414834,canonical_no_clipping_fail_fast,none,1.3226666666666667,15.0,0.3272072072072072,2220,555,6c09583ccc94b49cefceb1f3a43b676cf92757c3578f6f2811adab6102b78255,0a545bcf0e8ca0ce6f5f087dfbc789781eea68927851bd9acea4759f5d493db5
5,75,7,860757,870757,canonical-clean-v1,5,1.224744871391589,0.5,-1.0,0.7745966692414834,canonical_no_clipping_fail_fast,none,1.36,11.0,0.3279279279279279,2220,555,9138e5524b84bd532ef3b29151a38b6f609a4bf79de006b0575ea98b58ec88cf,b2a596f147536a18946e49563bba5d456d345399ab892127b3bb1cd03821a8f0
5,75,8,860758,870758,canonical-clean-v1,5,1.224744871391589,0.4999999999999999,-1.0,0.7745966692414834,canonical_no_clipping_fail_fast,none,1.2417777777777779,14.0,0.3499099099099099,2220,555,8ba51a0b6efcc0b2c79d4ab49ef7a28a945db1835359ace72afe807309798026,72180a082138c7725ac4f10495c7977dabbaaac2a00244514516cde0d8943421
5,100,1,861001,871001,canonical-clean-v1,5,1.224744871391589,0.4999999999999998,-1.0,0.7745966692414834,canonical_no_clipping_fail_fast,none,1.3226666666666667,15.0,0.33636363636363636,3960,990,47e58c0527fdd94f3c00d9b15245e0f6b57a0f82651d068125f74545ae339b09,8f7819c9f8091f143e042ed789e090601639a803f3f813b96feb886412262b62
5,100,2,861002,871002,canonical-clean-v1,5,1.224744871391589,0.49999999999999994,-1.0,0.7745966692414834,canonical_no_clipping_fail_fast,none,1.1966666666666668,12.0,0.32686868686868686,3960,990,c413da8da5a3046a96dcef79995c16c35a4c5a5b48d854e955db4f40acd56ad2,c7c2ba7915638b3057438a681da3c65a5242bbb3603d7df7eaded87c67b139ce
5,100,3,861003,871003,canonical-clean-v1,5,1.224744871391589,0.4999999999999999,-1.0,0.7745966692414834,canonical_no_clipping_fail_fast,none,1.3053333333333332,13.0,0.3486868686868687,3960,990,3a48743823f2b4f6a35dadd18e1fbd1f2c2190f491ae62302265965b50d52d03,f19a8a4257847b78148c719022ff0bdc99b99906d6e20da7551909aed85c8968
5,100,4,861004,871004,canonical-clean-v1,5,1.224744871391589,0.5,-1.0,0.7745966692414834,canonical_no_clipping_fail_fast,none,1.2393333333333334,22.0,0.34404040404040404,3960,990,40b46e46ceeadd9a111814ef17b32ddd14227a7297b0dc7d5c6bd60f9f0b7f2d,910f49c70b5491d7900227c5150c883e8e9d5573754642f2c7cdc5cee5dff437
5,100,5,861005,871005,canonical-clean-v1,5,1.224744871391589,0.5,-1.0,0.7745966692414834,canonical_no_clipping_fail_fast,none,1.2506666666666666,12.0,0.32525252525252524,3960,990,23a82e0db507d5b8b7af21b2986a8dc0ff71f6160859aec39c59a67f64509a0a,eeaa5380f28e055d5d7cbb1938124a50a03ee21631380fc18e4a79790346e822
5,100,6,861006,871006,canonical-clean-v1,5,1.224744871391589,0.5,-1.0,0.7745966692414834,canonical_no_clipping_fail_fast,none,1.2233333333333334,14.0,0.3402020202020202,3960,990,6eea13a9e551394567da477c5bdb37e1d51bfaa8bc3fe0a1ddd7c30eb743dd32,2ab530290080fce23780a0afd05e0c9ad8e9eda8d9ceb953991e1b8f32dedf59
5,100,7,861007,871007,canonical-clean-v1,5,1.224744871391589,0.5,-1.0,0.7745966692414834,canonical_no_clipping_fail_fast,none,1.2513333333333334,22.0,0.31353535353535356,3960,990,1b62599fe77dc0a7b51703a82552081c372e695cf63ff5c4705acf5f1b3d94cd,bc25b4a99462ea375fa0b4672275432646b4f777e1b61f5a4e9cbc2060df7275
5,100,8,861008,871008,canonical-clean-v1,5,1.224744871391589,0.4999999999999999,-1.0,0.7745966692414834,canonical_no_clipping_fail_fast,none,1.4046666666666667,19.0,0.34424242424242424,3960,990,1316c950914444f001da1e0f8efe12e2b4e49e09109d2969ad5be8197b09c742,d13726ca9ebf0a7fc7e0336117ff2c92e1f8a76ca1c7d5b0246e9eec36bf4ec8
5,150,1,861501,871501,canonical-clean-v1,5,1.224744871391589,0.4999999999999999,-1.0,0.7745966692414834,canonical_no_clipping_fail_fast,none,1.3448888888888888,22.0,0.33941834451901565,8940,2235,8a17a028cbc502ab5ef19f64c5aa9f336f5a37d8cb8cefc0961e6970873f21a0,9027e784c2f14d16d73d855f071e3c9a04ca03382926eddd1acfd3988623d10a
5,150,2,861502,871502,canonical-clean-v1,5,1.224744871391589,0.4999999999999999,-1.0,0.7745966692414834,canonical_no_clipping_fail_fast,none,1.3311111111111111,32.0,0.3327964205816555,8940,2235,44c9fea32f8a7363f1ca9bfe70cc1c937a7fcccc134e5f1b894989b72837a1a4,bf964ab8a792f93569d54cfcc45770e1545c9153385a75af98f1067a6910de4c
5,150,3,861503,871503,canonical-clean-v1,5,1.224744871391589,0.49999999999999994,-1.0,0.7745966692414834,canonical_no_clipping_fail_fast,none,1.3213333333333332,21.0,0.334586129753915,8940,2235,8606085194d53af6e70f3d797beeeacc2613996afae65a4962ce636a36f294fa,079fd79d7db1f02240a98aa3600af3c8be4f12dc802a2fcd11765a89a0bedb53
5,150,4,861504,871504,canonical-clean-v1,5,1.224744871391589,0.49999999999999983,-1.0,0.7745966692414834,canonical_no_clipping_fail_fast,none,1.256888888888889,42.0,0.33082774049217,8940,2235,af7627f5e256b43cd3fb4ef6224a3bc4a1076d707cdd10b6cac6c817bf169a0a,a5da724c1f5dd8908047868286996b55daf622c63d76e772d000a3f4c219acf9
5,150,5,861505,871505,canonical-clean-v1,5,1.224744871391589,0.49999999999999994,-1.0,0.7745966692414834,canonical_no_clipping_fail_fast,none,1.264,24.0,0.33762863534675613,8940,2235,f9e09341286ae5c9204ceae6fb1b7ef6bc83281d2cdbf89f22ad5b027e864830,3844220e6b427a2ec5470a70527c326976b0fd9a416db271f36c5883b068b4ad
5,150,6,861506,871506,canonical-clean-v1,5,1.224744871391589,0.4999999999999999,-1.0,0.7745966692414834,canonical_no_clipping_fail_fast,none,1.2622222222222221,34.0,0.3337807606263982,8940,2235,b821f6442c614e074aa9e8a14eceb7330856e6c419fda1c82690763b064f26fc,86f0fa9608701903bcdceed46d8bcbc5e1a0c5cf1dd031c948c30eb2922f092f
5,150,7,861507,871507,canonical-clean-v1,5,1.224744871391589,0.4999999999999999,-1.0,0.7745966692414834,canonical_no_clipping_fail_fast,none,1.2493333333333334,11.0,0.33610738255033556,8940,2235,ce2c4032e18b217d89b612b091acbf9998e114fdc204137ea4d25c71538fa535,8f30cab7f9e35458d20f1fcd60d42d2ed8aaa3f7053d834c8e5b5870b434a1cd
5,150,8,861508,871508,canonical-clean-v1,5,1.224744871391589,0.49999999999999983,-1.0,0.7745966692414834,canonical_no_clipping_fail_fast,none,1.2373333333333334,14.0,0.33172259507829976,8940,2235,2f7e6fa7f2294a67c86f9f1612a100fa910d6cf1c4ab8717603677a1cfdb9e59,2b7414004cd19554601226ed0efb858f57dbe4700c8a71b168a63c28368e383a
