fit_index,K_TRUE,n,replicate,K,start,data_seed,split_seed,model_seed
636,5,75,6,3,2,860756,870756,1405632
637,5,75,6,4,1,860756,870756,1405641
638,5,75,6,4,2,860756,870756,1405642
639,5,75,6,5,1,860756,870756,1405651
640,5,75,6,5,2,860756,870756,1405652
641,5,75,6,6,1,860756,870756,1405661
642,5,75,6,6,2,860756,870756,1405662
643,5,75,6,7,1,860756,870756,1405671
644,5,75,6,7,2,860756,870756,1405672
645,5,75,7,1,1,860757,870757,1405711
646,5,75,7,1,2,860757,870757,1405712
647,5,75,7,2,1,860757,870757,1405721
648,5,75,7,2,2,860757,870757,1405722
649,5,75,7,3,1,860757,870757,1405731
650,5,75,7,3,2,860757,870757,1405732
651,5,75,7,4,1,860757,870757,1405741
652,5,75,7,4,2,860757,870757,1405742
653,5,75,7,5,1,860757,870757,1405751
654,5,75,7,5,2,860757,870757,1405752
655,5,75,7,6,1,860757,870757,1405761
656,5,75,7,6,2,860757,870757,1405762
657,5,75,7,7,1,860757,870757,1405771
658,5,75,7,7,2,860757,870757,1405772
659,5,75,8,1,1,860758,870758,1405811
660,5,75,8,1,2,860758,870758,1405812
661,5,75,8,2,1,860758,870758,1405821
662,5,75,8,2,2,860758,870758,1405822
663,5,75,8,3,1,860758,870758,1405831
664,5,75,8,3,2,860758,870758,1405832
665,5,75,8,4,1,860758,870758,1405841
666,5,75,8,4,2,860758,870758,1405842
667,5,75,8,5,1,860758,870758,1405851
668,5,75,8,5,2,860758,870758,1405852
669,5,75,8,6,1,860758,870758,1405861
670,5,75,8,6,2,860758,870758,1405862
671,5,75,8,7,1,860758,870758,1405871
672,5,75,8,7,2,860758,870758,1405872
673,5,100,1,1,1,861001,871001,1430111
674,5,100,1,1,2,861001,871001,1430112
675,5,100,1,2,1,861001,871001,1430121
676,5,100,1,2,2,861001,871001,1430122
677,5,100,1,3,1,861001,871001,1430131
678,5,100,1,3,2,861001,871001,1430132
679,5,100,1,4,1,861001,871001,1430141
680,5,100,1,4,2,861001,871001,1430142
681,5,100,1,5,1,861001,871001,1430151
682,5,100,1,5,2,861001,871001,1430152
683,5,100,1,6,1,861001,871001,1430161
684,5,100,1,6,2,861001,871001,1430162
685,5,100,1,7,1,861001,871001,1430171
686,5,100,1,7,2,861001,871001,1430172
687,5,100,2,1,1,861002,871002,1430211
688,5,100,2,1,2,861002,871002,1430212
689,5,100,2,2,1,861002,871002,1430221
690,5,100,2,2,2,861002,871002,1430222
691,5,100,2,3,1,861002,871002,1430231
692,5,100,2,3,2,861002,871002,1430232
693,5,100,2,4,1,861002,871002,1430241
694,5,100,2,4,2,861002,871002,1430242
695,5,100,2,5,1,861002,871002,1430251
696,5,100,2,5,2,861002,871002,1430252
697,5,100,2,6,1,861002,871002,1430261
698,5,100,2,6,2,861002,871002,1430262
699,5,100,2,7,1,861002,871002,1430271
700,5,100,2,7,2,861002,871002,1430272
701,5,100,3,1,1,861003,871003,1430311
702,5,100,3,1,2,861003,871003,1430312
703,5,100,3,2,1,861003,871003,1430321
704,5,100,3,2,2,861003,871003,1430322
705,5,100,3,3,1,861003,871003,1430331
706,5,100,3,3,2,861003,871003,1430332
707,5,100,3,4,1,861003,871003,1430341
708,5,100,3,4,2,861003,871003,1430342
709,5,100,3,5,1,861003,871003,1430351
710,5,100,3,5,2,861003,871003,1430352
711,5,100,3,6,1,861003,871003,1430361
712,5,100,3,6,2,861003,871003,1430362
713,5,100,3,7,1,861003,871003,1430371
714,5,100,3,7,2,861003,871003,1430372
715,5,100,4,1,1,861004,871004,1430411
716,5,100,4,1,2,861004,871004,1430412
717,5,100,4,2,1,861004,871004,1430421
718,5,100,4,2,2,861004,871004,1430422
719,5,100,4,3,1,861004,871004,1430431
720,5,100,4,3,2,861004,871004,1430432
721,5,100,4,4,1,861004,871004,1430441
722,5,100,4,4,2,861004,871004,1430442
723,5,100,4,5,1,861004,871004,1430451
724,5,100,4,5,2,861004,871004,1430452
725,5,100,4,6,1,861004,871004,1430461
726,5,100,4,6,2,861004,871004,1430462
727,5,100,4,7,1,861004,871004,1430471
728,5,100,4,7,2,861004,871004,1430472
729,5,100,5,1,1,861005,871005,1430511
730,5,100,5,1,2,861005,871005,1430512
731,5,100,5,2,1,861005,871005,1430521
732,5,100,5,2,2,861005,871005,1430522
733,5,100,5,3,1,861005,871005,1430531
734,5,100,5,3,2,861005,871005,1430532
735,5,100,5,4,1,861005,871005,1430541
736,5,100,5,4,2,861005,871005,1430542
737,5,100,5,5,1,861005,871005,1430551
738,5,100,5,5,2,861005,871005,1430552
739,5,100,5,6,1,861005,871005,1430561
740,5,100,5,6,2,861005,871005,1430562
741,5,100,5,7,1,861005,871005,1430571
742,5,100,5,7,2,861005,871005,1430572
743,5,100,6,1,1,861006,871006,1430611
744,5,100,6,1,2,861006,871006,1430612
745,5,100,6,2,1,861006,871006,1430621
746,5,100,6,2,2,861006,871006,1430622
747,5,100,6,3,1,861006,871006,1430631
748,5,100,6,3,2,861006,871006,1430632
749,5,100,6,4,1,861006,871006,1430641
750,5,100,6,4,2,861006,871006,1430642
751,5,100,6,5,1,861006,871006,1430651
752,5,100,6,5,2,861006,871006,1430652
753,5,100,6,6,1,861006,871006,1430661
754,5,100,6,6,2,861006,871006,1430662
755,5,100,6,7,1,861006,871006,1430671
756,5,100,6,7,2,861006,871006,1430672
757,5,100,7,1,1,861007,871007,1430711
758,5,100,7,1,2,861007,871007,1430712
759,5,100,7,2,1,861007,871007,1430721
760,5,100,7,2,2,861007,871007,1430722
761,5,100,7,3,1,861007,871007,1430731
762,5,100,7,3,2,861007,871007,1430732
763,5,100,7,4,1,861007,871007,1430741
764,5,100,7,4,2,861007,871007,1430742
765,5,100,7,5,1,861007,871007,1430751
766,5,100,7,5,2,861007,871007,1430752
767,5,100,7,6,1,861007,871007,1430761
768,5,100,7,6,2,861007,871007,1430762
769,5,100,7,7,1,861007,871007,1430771
770,5,100,7,7,2,861007,871007,1430772
771,5,100,8,1,1,861008,871008,1430811
772,5,100,8,1,2,861008,871008,1430812
773,5,100,8,2,1,861008,871008,1430821
774,5,100,8,2,2,861008,871008,1430822
775,5,100,8,3,1,861008,871008,1430831
776,5,100,8,3,2,861008,871008,1430832
777,5,100,8,4,1,861008,871008,1430841
778,5,100,8,4,2,861008,871008,1430842
779,5,100,8,5,1,861008,871008,1430851
780,5,100,8,5,2,861008,871008,1430852
781,5,100,8,6,1,861008,871008,1430861
782,5,100,8,6,2,861008,871008,1430862
783,5,100,8,7,1,861008,871008,1430871
784,5,100,8,7,2,861008,871008,1430872
785,5,150,1,1,1,861501,871501,1480111
786,5,150,1,1,2,861501,871501,1480112
787,5,150,1,2,1,861501,871501,1480121
788,5,150,1,2,2,861501,871501,1480122
789,5,150,1,3,1,861501,871501,1480131
790,5,150,1,3,2,861501,871501,1480132
791,5,150,1,4,1,861501,871501,1480141
792,5,150,1,4,2,861501,871501,1480142
793,5,150,1,5,1,861501,871501,1480151
794,5,150,1,5,2,861501,871501,1480152
795,5,150,1,6,1,861501,871501,1480161
796,5,150,1,6,2,861501,871501,1480162
797,5,150,1,7,1,861501,871501,1480171
798,5,150,1,7,2,861501,871501,1480172
799,5,150,2,1,1,861502,871502,1480211
800,5,150,2,1,2,861502,871502,1480212
801,5,150,2,2,1,861502,871502,1480221
802,5,150,2,2,2,861502,871502,1480222
803,5,150,2,3,1,861502,871502,1480231
804,5,150,2,3,2,861502,871502,1480232
805,5,150,2,4,1,861502,871502,1480241
806,5,150,2,4,2,861502,871502,1480242
807,5,150,2,5,1,861502,871502,1480251
808,5,150,2,5,2,861502,871502,1480252
809,5,150,2,6,1,861502,871502,1480261
810,5,150,2,6,2,861502,871502,1480262
811,5,150,2,7,1,861502,871502,1480271
812,5,150,2,7,2,861502,871502,1480272
813,5,150,3,1,1,861503,871503,1480311
814,5,150,3,1,2,861503,871503,1480312
815,5,150,3,2,1,861503,871503,1480321
816,5,150,3,2,2,861503,871503,1480322
817,5,150,3,3,1,861503,871503,1480331
818,5,150,3,3,2,861503,871503,1480332
819,5,150,3,4,1,861503,871503,1480341
820,5,150,3,4,2,861503,871503,1480342
821,5,150,3,5,1,861503,871503,1480351
822,5,150,3,5,2,861503,871503,1480352
823,5,150,3,6,1,861503,871503,1480361
824,5,150,3,6,2,861503,871503,1480362
825,5,150,3,7,1,861503,871503,1480371
826,5,150,3,7,2,861503,871503,1480372
827,5,150,4,1,1,861504,871504,1480411
828,5,150,4,1,2,861504,871504,1480412
829,5,150,4,2,1,861504,871504,1480421
830,5,150,4,2,2,861504,871504,1480422
831,5,150,4,3,1,861504,871504,1480431
832,5,150,4,3,2,861504,871504,1480432
833,5,150,4,4,1,861504,871504,1480441
834,5,150,4,4,2,861504,871504,1480442
835,5,150,4,5,1,861504,871504,1480451
836,5,150,4,5,2,861504,871504,1480452
837,5,150,4,6,1,861504,871504,1480461
838,5,150,4,6,2,861504,871504,1480462
839,5,150,4,7,1,861504,871504,1480471
840,5,150,4,7,2,861504,871504,1480472
841,5,150,5,1,1,861505,871505,1480511
842,5,150,5,1,2,861505,871505,1480512
843,5,150,5,2,1,861505,871505,1480521
844,5,150,5,2,2,861505,871505,1480522
845,5,150,5,3,1,861505,871505,1480531
846,5,150,5,3,2,861505,871505,1480532
847,5,150,5,4,1,861505,871505,1480541
848,5,150,5,4,2,861505,871505,1480542
849,5,150,5,5,1,861505,871505,1480551
850,5,150,5,5,2,861505,871505,1480552
851,5,150,5,6,1,861505,871505,1480561
852,5,150,5,6,2,861505,871505,1480562
853,5,150,5,7,1,861505,871505,1480571
854,5,150,5,7,2,861505,871505,1480572
855,5,150,6,1,1,861506,871506,1480611
856,5,150,6,1,2,861506,871506,1480612
857,5,150,6,2,1,861506,871506,1480621
858,5,150,6,2,2,861506,871506,1480622
859,5,150,6,3,1,861506,871506,1480631
860,5,150,6,3,2,861506,871506,1480632
861,5,150,6,4,1,861506,871506,1480641
862,5,150,6,4,2,861506,871506,1480642
863,5,150,6,5,1,861506,871506,1480651
864,5,150,6,5,2,861506,871506,1480652
865,5,150,6,6,1,861506,871506,1480661
866,5,150,6,6,2,861506,871506,1480662
867,5,150,6,7,1,861506,871506,1480671
868,5,150,6,7,2,861506,871506,1480672
869,5,150,7,1,1,861507,871507,1480711
870,5,150,7,1,2,861507,871507,1480712
871,5,150,7,2,1,861507,871507,1480721
872,5,150,7,2,2,861507,871507,1480722
873,5,150,7,3,1,861507,871507,1480731
874,5,150,7,3,2,861507,871507,1480732
875,5,150,7,4,1,861507,871507,1480741
876,5,150,7,4,2,861507,871507,1480742
877,5,150,7,5,1,861507,871507,1480751
878,5,150,7,5,2,861507,871507,1480752
879,5,150,7,6,1,861507,871507,1480761
880,5,150,7,6,2,861507,871507,1480762
881,5,150,7,7,1,861507,871507,1480771
882,5,150,7,7,2,861507,871507,1480772
883,5,150,8,1,1,861508,871508,1480811
884,5,150,8,1,2,861508,871508,1480812
885,5,150,8,2,1,861508,871508,1480821
886,5,150,8,2,2,861508,871508,1480822
887,5,150,8,3,1,861508,871508,1480831
888,5,150,8,3,2,861508,871508,1480832
889,5,150,8,4,1,861508,871508,1480841
890,5,150,8,4,2,861508,871508,1480842
891,5,150,8,5,1,861508,871508,1480851
892,5,150,8,5,2,861508,871508,1480852
893,5,150,8,6,1,861508,871508,1480861
894,5,150,8,6,2,861508,871508,1480862
895,5,150,8,7,1,861508,871508,1480871
896,5,150,8,7,2,861508,871508,1480872
