criterion,K_TRUE,n,replicate,selected_k,tie_candidates,signed_error,abs_error,label,best_mean,mean_scores
S2,5,75,3,4,[4],-1,1,under,-6349.211256185569,"{""1"": -6502.221191813374, ""2"": -6375.541230247407, ""3"": -6392.546383821223, ""4"": -6349.211256185569, ""5"": -6419.726933478756, ""6"": -6603.065627707219, ""7"": -6788.44476233397}"
S3,5,75,3,7,[7],2,2,over,-3670.9337214677016,"{""1"": -4682.298139027457, ""2"": -4311.764816287476, ""3"": -4136.057193967732, ""4"": -3872.21694437436, ""5"": -3723.1324053289154, ""6"": -3671.452031202185, ""7"": -3670.9337214677016}"
S1,5,75,4,3,[3],-2,2,under,-0.5590298970022982,"{""1"": -0.603004005313805, ""2"": -0.5824074864880218, ""3"": -0.5590298970022982, ""4"": -0.5920608776977333, ""5"": -0.5634046941697317, ""6"": -0.6219723591381191, ""7"": -0.6463537893254427}"
S2,5,75,4,3,[3],-2,2,under,-6086.539405826097,"{""1"": -6262.120991411298, ""2"": -6159.865843039976, ""3"": -6086.539405826097, ""4"": -6110.706141783683, ""5"": -6274.791792581973, ""6"": -6474.283004048759, ""7"": -6619.082009179956}"
S3,5,75,4,7,[7],2,2,over,-3699.619113043751,"{""1"": -4610.1128703203885, ""2"": -4293.860268429825, ""3"": -4034.4158566320975, ""4"": -3842.256289719032, ""5"": -3795.0317089257674, ""6"": -3776.0350806067086, ""7"": -3699.619113043751}"
S1,5,75,5,3,[3],-2,2,under,-0.5891667008460066,"{""1"": -0.6104501764925392, ""2"": -0.6043801469144364, ""3"": -0.5891667008460066, ""4"": -0.5922553488597824, ""5"": -0.6182195768234698, ""6"": -0.6275033718313583, ""7"": -0.6534615706350205}"
S2,5,75,5,4,[4],-1,1,under,-5974.199049055682,"{""1"": -6324.284186949975, ""2"": -6065.550583937191, ""3"": -5996.628055295774, ""4"": -5974.199049055682, ""5"": -6137.276135236325, ""6"": -6319.178443966006, ""7"": -6474.3156900497515}"
S3,5,75,5,7,[7],2,2,over,-3458.883379732418,"{""1"": -4573.046969612631, ""2"": -4101.006090986557, ""3"": -3805.3601917310743, ""4"": -3570.699462926648, ""5"": -3559.177812282912, ""6"": -3536.3028731662434, ""7"": -3458.883379732418}"
S1,5,75,6,3,[3],-2,2,under,-0.6061463529475664,"{""1"": -0.6324274328017876, ""2"": -0.6156588909059382, ""3"": -0.6061463529475664, ""4"": -0.6068170249653262, ""5"": -0.6239885347845158, ""6"": -0.6279633638552452, ""7"": -0.659433950702019}"
S2,5,75,6,4,[4],-1,1,under,-6237.212263522932,"{""1"": -6544.518320833777, ""2"": -6390.822129641843, ""3"": -6282.208155268929, ""4"": -6237.212263522932, ""5"": -6251.884358262381, ""6"": -6440.6199791963145, ""7"": -6642.232337649268}"
S3,5,75,6,7,[7],2,2,over,-3448.578540471035,"{""1"": -4666.372476010916, ""2"": -4286.761717137695, ""3"": -3955.7050255546483, ""4"": -3698.709187718643, ""5"": -3516.587243861529, ""6"": -3482.08627128651, ""7"": -3448.578540471035}"
