scenario,trial,seed_data,seed_model,k_est,k_true,family_x,family_y,n,d,q_strict,bic,num_params,rmse_z,rmse_x,rmse_y,success,error_message,note
B,6,5600,5650,3,3,gaussian,poisson,150,15,-15953.137845896712,32191.88190355691,57,0.13743611107719847,0.3117730995138663,0.7050529214123243,True,,fixed_official full k_true=3
B,7,5700,5750,3,3,gaussian,poisson,150,15,-16048.815787907262,32383.23778757801,57,0.14278424082632615,0.31438424376206353,0.45799556517398105,True,,fixed_official full k_true=3
B,8,5800,5850,3,3,gaussian,poisson,150,15,-15997.627126465155,32280.860464693797,57,0.14425772442128967,0.3134670510607624,0.42849182873029873,True,,fixed_official full k_true=3
B,9,5900,5950,3,3,gaussian,poisson,150,15,-16034.468856447678,32354.543924658843,57,0.13987875645085565,0.30862616457987685,0.4807357645898564,True,,fixed_official full k_true=3
B,0,5000,5050,4,3,gaussian,poisson,150,15,-16072.67773193918,32491.089299171002,69,0.3734018136896312,0.3056619829944257,0.450734969434817,True,,fixed_official full k_true=3
B,1,5100,5150,4,3,gaussian,poisson,150,15,-16173.640964753955,32693.01576480055,69,0.3337419993265055,0.3103323989283139,0.48770518024067216,True,,fixed_official full k_true=3
B,2,5200,5250,4,3,gaussian,poisson,150,15,-15982.515165231851,32310.764165756344,69,0.45921961283863977,0.3198388227965519,0.48651889819516164,True,,fixed_official full k_true=3
B,3,5300,5350,4,3,gaussian,poisson,150,15,-16015.061909820794,32375.85765493423,69,0.6178273373581561,0.3030222009268195,0.6417978025215928,True,,fixed_official full k_true=3
B,4,5400,5450,4,3,gaussian,poisson,150,15,-16004.927537093881,32355.588909480404,69,0.48772844906116947,0.3065797114984669,0.5125092047555887,True,,fixed_official full k_true=3
B,5,5500,5550,4,3,gaussian,poisson,150,15,-16067.826602479712,32481.387040252066,69,0.37560291725319334,0.30302905545381303,0.5135191785728975,True,,fixed_official full k_true=3
