scenario,k_true,k_est,trial,rmse_Z,BIC
C,5,6,4,0.3763502450052271,-34063.62662341322
C,5,7,0,0.41898490277910727,-33367.290762334254
C,5,7,1,0.26549502643198425,-33432.76303628043
C,5,7,2,0.4540776252668986,-33494.648342080756
C,5,7,3,0.20175196695080727,-33201.469250618975
C,5,7,4,0.27925325293142916,-33584.30883276053
C,5,8,0,0.439574539751278,-32926.73121843777
C,5,8,1,0.41574841475357066,-32921.67271492785
C,5,8,2,0.4612816287622824,-33002.745356140236
C,5,8,3,0.52114916104219,-32799.58357557442
C,5,8,4,0.3570900304973617,-33128.634445775024
C,5,9,0,0.508575810618567,-32372.55052645232
C,5,9,1,0.3803007254098333,-32473.980096937015
C,5,9,2,0.5471137984895823,-32647.56353450559
C,5,9,3,0.5359393419907977,-32241.03549909246
C,5,9,4,0.4148784337483241,-32698.567618973375
C,5,10,0,0.5636136709384468,-31859.343488391853
C,5,10,1,0.38209526113782855,-31984.87899973377
C,5,10,2,0.5000366989453023,-32077.7062655996
C,5,10,3,0.5336575756971876,-31792.051695243226
C,5,10,4,0.516892288393395,-32254.07554105623
C,7,1,0,1.1315255914986952,18663.547186047144
C,7,1,1,0.9261695376547542,17959.76172274296
C,7,1,2,0.8634700941663043,18687.293497452887
C,7,1,3,1.121646785532516,18023.789432143643
C,7,1,4,0.898183751125359,18049.5832082587
C,7,2,0,1.1072814177606989,15677.024191732775
C,7,2,1,1.0751114597662694,14870.382019789562
C,7,2,2,0.9920202365305032,15542.027478512538
C,7,2,3,0.8691825803732529,15331.412545183079
C,7,2,4,1.0298841460576202,15501.456390313628
C,7,3,0,0.9154258426778428,12638.211792462662
C,7,3,1,0.7743895853506252,12323.48627719426
C,7,3,2,0.8892189121828391,12398.479236382202
C,7,3,3,0.8021751284413065,11865.359254816985
C,7,3,4,0.8399769691447024,12454.013939054628
C,7,4,0,0.7854393637129492,8372.687526759542
C,7,4,1,0.6756007748736929,9278.009959788298
C,7,4,2,0.6677507175029415,7627.835359681044
C,7,4,3,0.7411279771074801,7718.52299614592
C,7,4,4,0.75896372543115,9637.040277283317
C,7,5,0,0.5556161753367711,2806.772491918251
C,7,5,1,0.6008648384027482,4104.613658103631
C,7,5,2,0.5647288789299008,33.39032147381869
C,7,5,3,0.6485996064930971,2560.3328483123864
C,7,5,4,0.5403930508755124,5142.8313535591
C,7,6,0,0.48276720024536063,-4793.7481129186435
C,7,6,1,0.49573939791300525,-3902.921961028835
C,7,6,2,0.4509259893999251,-10462.305825021436
C,7,6,3,0.44104460196843387,-5340.476997587674
C,7,6,4,0.43676836736820096,-2693.7411928856686
C,7,7,0,0.0300702138725582,-32999.07407613143
C,7,7,1,0.030285297689821213,-32836.993629590324
C,7,7,2,0.030661893194152735,-32881.253816572105
C,7,7,3,0.02941515405060192,-33022.26659685354
C,7,7,4,0.029118156899335626,-32817.10107566113
C,7,8,0,0.28299413162296894,-32492.54546099457
C,7,8,1,0.24417280546339104,-32259.684596099927
C,7,8,2,0.37334953636802326,-32478.522781028358
C,7,8,3,0.26790860057669225,-32437.120121430005
C,7,8,4,0.30960315820082407,-32324.464010738517
C,7,9,0,0.35495836184580365,-32020.675710625637
C,7,9,1,0.3976788292632784,-31796.444717110335
C,7,9,2,0.3450131573648484,-32030.23298990708
C,7,9,3,0.29234930742940507,-32093.567372965947
C,7,9,4,0.4505241982938991,-31777.635699765855
C,7,10,0,0.5090043627742568,-31632.71617552664
C,7,10,1,0.4732706458184195,-31383.421857577374
C,7,10,2,0.2397050867272208,-31525.50586743209
C,7,10,3,0.3689070306230329,-31636.728525925442
C,7,10,4,0.4186514623181282,-31370.77862652232
C,9,1,0,1.1256128627497308,21600.740100475625
C,9,1,1,1.2005066295985494,21813.957218002943
C,9,1,2,1.2031989170059296,20976.2102403308
