scenario,k_true,k_est,trial,rmse_Z,BIC
B,7,7,1,0.17804208206544248,35787.36114781643
B,7,7,2,0.1760518081790851,35917.31073597363
B,7,7,3,0.19190094970046714,35823.55960602744
B,7,7,4,0.18386056164341197,35911.532864699075
B,7,8,0,0.40102287767951433,35792.8074731538
B,7,8,1,0.30294960518673436,36279.02896181298
B,7,8,2,0.33013857680085157,36119.64270767891
B,7,8,3,0.42074579824060987,36124.07388330786
B,7,8,4,0.314472706518854,35851.572742708064
B,7,9,0,0.4541897573614769,36207.540099224774
B,7,9,1,0.4952618992035565,36526.849656344384
B,7,9,2,0.48934027098264943,36551.60162290054
B,7,9,3,0.48749185849865917,36406.127651684685
B,7,9,4,0.4607615368006261,36244.41513376635
B,7,10,0,0.5445171891001452,36534.9547185433
B,7,10,1,0.5010487243321281,36953.255341854696
B,7,10,2,0.3884482995086652,37079.517033006
B,7,10,3,0.5306468125996878,36716.110279663015
B,7,10,4,0.496344376731915,36625.52040811882
B,9,1,0,1.2747804311488187,104275.12372342398
B,9,1,1,1.2810127694109417,104918.20876619617
B,9,1,2,1.0030996223485515,118306.95277360703
B,9,1,3,1.080031229232167,114597.30589998221
B,9,1,4,1.205621423334601,104757.12384599181
B,9,2,0,1.03640171793972,83781.6194830104
B,9,2,1,0.7643445660386362,85003.77021904128
B,9,2,2,1.028226213852806,82847.59365593974
B,9,2,3,1.1056840861986803,89347.14944136096
B,9,2,4,0.9333586055130836,80724.6408509769
B,9,3,0,1.0985067079183373,71784.60408324706
B,9,3,1,0.966958451053217,70569.29097372625
B,9,3,2,0.8320632424646255,68735.87385983483
B,9,3,3,1.0059961771377266,73959.43700099998
B,9,3,4,0.8806844494890337,67652.3964882663
B,9,4,0,0.942280398428325,61856.35457426796
B,9,4,1,0.8149030074015632,62073.40546433685
B,9,4,2,0.7830658468507576,60068.43519788088
B,9,4,3,0.9639958160349392,63988.83243864358
B,9,4,4,0.9104868079100662,59424.48451172327
B,9,5,0,0.7780437488617116,53274.26510859157
B,9,5,1,0.7695106732893504,53534.94326542906
