scenario,k_true,k_est,trial,rmse_Z,BIC
A,3,8,3,0.7965514030746407,19188.939754198203
A,3,8,4,0.7281282177962528,19288.061215379046
A,3,9,0,0.830770609833865,19964.57397999293
A,3,9,1,0.7751139689009986,19829.022979934616
A,3,9,2,0.7414409885973002,19826.204688352518
A,3,9,3,0.8177927424525755,19688.042261396928
A,3,9,4,0.8441012668650025,19809.845709769477
A,3,10,0,0.8960041262732894,20342.616430701455
A,3,10,1,0.8720193984342005,20268.153971940654
A,3,10,2,0.9130529208710774,20290.9959077634
A,3,10,3,0.8480305697877489,20075.289721115216
A,3,10,4,0.9366626006052569,20352.37820371808
A,5,1,0,1.214265034236504,21839.53652432871
A,5,1,1,1.1988244776610832,22484.870672330293
A,5,1,2,1.256360457600219,22193.654684239664
A,5,1,3,1.0105248733419645,22176.632292374503
A,5,1,4,0.8806626573084633,22086.88376029839
A,5,2,0,0.9644272468909054,20063.705529670995
A,5,2,1,1.2238494589913589,20969.416626672435
A,5,2,2,1.2750847469659832,20510.868005799424
A,5,2,3,0.9175357591601508,20656.189607052853
A,5,2,4,0.9169387511971313,20391.918270374877
A,5,3,0,0.7702639675062982,18791.58131351386
A,5,3,1,0.7746566126331806,19388.089809543977
A,5,3,2,0.8968809282410741,18899.08804065519
A,5,3,3,0.8000793495473473,19384.018118637054
A,5,3,4,0.8674782937791857,19085.162710130408
A,5,4,0,0.6832809293540956,17541.175624703046
A,5,4,1,0.5593246261006533,17979.544740408048
A,5,4,2,0.4821136094141132,17685.712626695233
A,5,4,3,0.5388922682776839,18024.9428671904
A,5,4,4,0.5749257455966122,17776.929541489844
A,5,5,0,0.33127249162868055,16771.47876524648
A,5,5,1,0.31977090005364717,16884.632886866104
A,5,5,2,0.3345377330261901,16682.278176654927
A,5,5,3,0.3240537570660252,16706.79130494282
A,5,5,4,0.3095117712498196,16659.724642302488
A,5,6,0,0.4595749632303752,17229.458273442462
A,5,6,1,0.5337626592581746,17446.30828448011
A,5,6,2,0.3884446135658182,17123.326342680342
A,5,6,3,0.4519369485783288,17310.22262096445
A,5,6,4,0.5628372096008184,17187.60402382942
A,5,7,0,0.5922188163235642,17719.53334973275
A,5,7,1,0.6154203535242928,17932.371319005815
A,5,7,2,0.6142614135436985,17697.23853036269
A,5,7,3,0.6598203500349582,17712.898513222284
A,5,7,4,0.46975050818662106,17694.31034788097
A,5,8,0,0.6848180130362652,18211.993249901905
A,5,8,1,0.6744235887530583,18406.863268883633
A,5,8,2,0.7098094516737099,18097.748944398838
A,5,8,3,0.7038239260956489,18297.273185682614
A,5,8,4,0.7815004535295081,18101.678772053718
A,5,9,0,0.7540430413455093,18711.425667182943
A,5,9,1,0.6818863270830066,18903.40076218698
A,5,9,2,0.5575279838776954,18502.35875409105
A,5,9,3,0.5785216440911274,18787.80026698325
A,5,9,4,0.6778818168830114,18700.14676066381
A,5,10,0,0.7557127812856438,19320.440738148045
A,5,10,1,0.7654884185334244,19398.208138835835
A,5,10,2,0.8085000183761475,19153.86586250587
A,5,10,3,0.6757286676961138,19267.319261908073
A,5,10,4,0.5997755641743658,19102.50131255372
A,7,1,0,1.16581109045278,23142.467576732502
A,7,1,1,1.1135197777942227,23460.349733095525
A,7,1,2,1.4084089572496077,22612.453157829128
A,7,1,3,1.386566684730709,22986.752570811685
A,7,1,4,1.1544176927913354,23234.5796492322
A,7,2,0,1.0135606897832188,21865.336794178413
A,7,2,1,1.08266528591439,21682.400020825262
