scenario,model,family_x,family_y,k_est,k_true,trial,n,d,rmse_Z,rmse_F,rmse_Y,rmse_X,rmse_sigma,w0_err,w_err,BIC,Q_strict,x_misspecified,comparison_type,status
A_Pois_Bern,dual_expfam,poisson,bernoulli,4,3,2,150,15,0.3530231633148846,0.1365700705562332,0.1351083073048037,1.187703761622655,0.9000000000000001,0.047677151243273985,0.41818378954004354,17169.37140166337,-8449.398547891087,False,auxiliary,
A_Pois_Bern,baseline_X_misspecified,gaussian(assumed),bernoulli,4,3,2,150,15,0.5522577832661559,1.1849718734066716,0.13107940630412268,1.4542478405122765,2.071773984367038,0.37560085565176893,0.3459304903392648,19457.078820883293,-9555.672492795326,True,auxiliary,ok
A_Pois_Bern,dual_expfam,poisson,bernoulli,4,3,3,150,15,0.47469227358100385,0.23829958044598204,0.12820302842978182,1.172855447844396,0.9000000000000001,0.03447891975191597,0.42173262644774234,17330.322434971236,-8529.87406454502,False,auxiliary,
A_Pois_Bern,baseline_X_misspecified,gaussian(assumed),bernoulli,4,3,3,150,15,0.720486098717651,1.5717325938384636,0.13910708912198802,1.5370988625263433,2.3149239067852845,0.3540179557543284,0.008715806327807885,20155.001299819254,-9904.633732263306,True,auxiliary,ok
A_Pois_Bern,dual_expfam,poisson,bernoulli,4,3,4,150,15,0.525220343766993,0.23812609672898724,0.13785318522487117,1.2007168337548824,0.9000000000000001,0.05048952747049651,0.432930685332678,17593.563453205094,-8661.494573661948,False,auxiliary,
A_Pois_Bern,baseline_X_misspecified,gaussian(assumed),bernoulli,4,3,4,150,15,0.6022280942114071,1.287562193517367,0.14123858870657469,1.548972372664029,2.3963953046050492,0.3959691489696766,0.2402319374507067,19999.507927113056,-9826.887045910207,True,auxiliary,ok
A_Pois_Bern,dual_expfam,poisson,bernoulli,5,3,0,150,15,0.7087965026910432,0.3045337679906731,0.15198353076493729,1.1492797397440853,0.9000000000000001,0.05629156222616161,0.6172779748866718,18097.12387546774,-8885.716290675742,False,auxiliary,
A_Pois_Bern,baseline_X_misspecified,gaussian(assumed),bernoulli,5,3,0,150,15,0.7333881132353697,1.0646331173099512,0.15321304451294282,1.3799361761701348,2.077074758296439,0.27568079928470723,0.3546087502820132,20262.481539927205,-9930.815358199752,True,auxiliary,ok
A_Pois_Bern,dual_expfam,poisson,bernoulli,5,3,1,150,15,0.6845983302077063,0.31433682959877784,0.14543541215457403,1.168241094945012,0.9000000000000001,0.04594239583997617,0.5836035376995742,17727.050160276096,-8700.67943307992,False,auxiliary,
A_Pois_Bern,baseline_X_misspecified,gaussian(assumed),bernoulli,5,3,1,150,15,0.6438679996224411,0.983398063743234,0.14011158273930804,1.3592634146179023,1.8449643230241928,0.31389632628723474,0.5372799379633038,19815.246972605648,-9707.198074538974,True,auxiliary,ok
