scenario,model,family_x,family_y,k_est,k_true,trial,n,d,rmse_Z,rmse_F,rmse_Y,rmse_X,rmse_sigma,w0_err,w_err,BIC,Q_strict,x_misspecified,comparison_type
Control,baseline,gaussian,bernoulli,4,3,3,150,15,0.6566870545007766,0.30354403377288647,0.10265784255158934,0.2989294526707494,0.015567020669410993,0.059127297720316996,0.3361389584495005,12373.136574221697,-6013.7013694645275,False,main
Control,dual_expfam,gaussian,bernoulli,4,3,4,150,15,0.5803024268385116,0.32792054815473665,0.10474692820574302,0.3007408290296749,0.012158951180776457,0.0809703145552142,0.3924665880384295,12581.204454656687,-6117.7353096820225,False,main
Control,baseline,gaussian,bernoulli,4,3,4,150,15,0.578889860283745,0.3297208856054614,0.10447931326046574,0.30037606659775584,0.012127517922299724,0.07914957633023989,0.3922520062130286,12586.259650490832,-6120.262907599095,False,main
Control,dual_expfam,gaussian,bernoulli,5,3,0,150,15,0.7107025560865241,0.31450854607717027,0.12240026360672475,0.29960849901353215,0.020582963884152563,0.0442992308826744,0.5382956430726775,12964.275389988657,-6281.7122832304785,False,main
Control,baseline,gaussian,bernoulli,5,3,0,150,15,0.7107025560865263,0.31450854607716916,0.12240026360672478,0.29960849901353215,0.020582963884152598,0.044299230882673735,0.5382956430726781,12930.362949487473,-6264.756062979886,False,main
Control,dual_expfam,gaussian,bernoulli,5,3,1,150,15,0.7087961038043,0.31462731458929377,0.11832204320618246,0.3134592627467966,0.016104941142607174,0.01988640846019918,0.5424878145485041,12869.204587481696,-6234.176881976998,False,main
Control,baseline,gaussian,bernoulli,5,3,1,150,15,0.7184145298383194,0.31861857023413526,0.11616233612980198,0.3146677804354497,0.01649575421489546,0.01699103592359341,0.540868032380665,12922.20497110997,-6260.677073791135,False,main
Control,dual_expfam,gaussian,bernoulli,5,3,2,150,15,0.6401186350178865,0.34520786825002203,0.10797909836870417,0.30196409488174036,0.020787523017525726,0.046742922778451934,0.5312821263968562,12517.270049959701,-6058.209613216,False,main
Control,baseline,gaussian,bernoulli,5,3,2,150,15,0.6729676613317628,0.34240669200412743,0.11171198476636346,0.3036563073286627,0.018793798277467126,0.0409353841018385,0.5079562264459759,12462.594618809675,-6030.871897640987,False,main
Control,dual_expfam,gaussian,bernoulli,5,3,3,150,15,0.5954032450514625,0.26496431710643253,0.10922550066390632,0.2951094590346509,0.01534260493208316,0.05757268960398443,0.5280305541941072,12846.707460224128,-6222.928318348214,False,main
